"pairKey","n_subjects","n_valid","P_ms","T_ms","W_ms","spe_rt_d","spe_acc_d","spe_rt_d_m","spe_acc_d_m","spe_rt_d_nm","spe_acc_d_nm","self_mean_rt","stranger_mean_rt","identity_types","primary_comp"
"Amodeo_2024_CABN_Exp1",67,67,24,200,1600,-0.6244,-0.1555,-0.8488,NA,-0.4757,NA,781.8,887.1,"Close,Self,Stranger","Stranger"
"Bukowski_2021_AP_Exp1",87,86,12,100,800,-0.4445,-0.2674,NA,NA,-0.4445,-0.2674,678.5,739.5,"Close,Self,Stranger","Stranger"
"Bukowski_2021_AP_Exp2",95,95,12,100,800,-0.5068,-0.2957,NA,NA,-0.5068,-0.2957,642.4,713.1,"Close,Self,Stranger","Stranger"
"Constable_2019_EPHPP_Exp1",28,28,20,233,1500,-0.3786,-0.1249,-0.552,-0.2053,-0.2326,-0.0443,803.8,872.8,"Self,Stranger","Stranger"
"Constable_2019_EPHPP_Exp2",28,28,20,233,1500,-0.3579,-0.1042,-0.483,-0.2148,-0.2537,6e-04,814.2,880.8,"Self,Stranger","Stranger"
"Constable_2019_EPHPP_Exp3",28,28,20,233,1500,-0.3304,-0.1403,-0.3715,-0.1999,-0.3074,NA,813.9,882,"Self,Stranger","Stranger"
"Constable_2019_EPHPP_Exp4",20,20,21,233,1500,-0.0978,-0.0555,-0.1698,-0.1138,-0.0454,0.0042,780.3,806.1,"Self,Stranger","Stranger"
"Constable_2020_CE_Exp1",56,56,4,233,1500,-0.2045,-0.1388,-0.3176,-0.2277,-0.1078,-0.0537,657.6,698,"Self,Stranger","Stranger"
"Constable_2020_CE_Exp2",56,56,8,233,1500,-0.282,-0.1737,-0.4324,-0.3023,-0.1424,-0.0522,856.2,915.5,"Self,Stranger","Stranger"
"Dalmaso_2024_CC_Exp1",40,40,40,200,1000,-0.3225,-0.2318,-0.521,-0.4061,-0.1365,-0.059,612.4,660.7,"Self,Stranger","Stranger"
"Dalmaso_2024_CC_Exp2",40,40,40,200,1000,-0.1803,-0.3254,-0.4613,-0.6327,0.0974,-0.0343,632.6,664.2,"Self,Stranger","Stranger"
"Feldborg_2021_ERPH_Exp1",102,49,22,1500,1500,-0.1007,-0.0852,-0.195,-0.2099,-0.0208,0.0276,677.9,697.7,"Close,Self,Stranger","Stranger"
"Golubickis_2021_AP_Exp1",30,30,12,100,NA,-0.1296,-0.0796,-0.256,-0.2311,-0.0177,0.0883,596,621.4,"Close,Self,Stranger","Stranger"
"Golubickis_2021_AP_Exp2",25,25,12,100,NA,-0.1592,-0.0676,-0.3402,NA,-0.0075,0.035,487.7,509.2,"Close,Self,Stranger","Stranger"
"Haciahmet_2023_Psy_Exp1",40,40,24,100,1500,-0.4284,-0.167,-0.725,-0.4052,-0.1753,0.0652,553.2,621.2,"Self,Stranger","Stranger"
"Hobbs_2023_PM_Exp1",144,144,NA,100,1100,-0.2924,-0.2101,-0.7188,NA,0.0727,NA,671.7,707.9,"Close,Self,Stranger","Stranger"
"Hu_2020_CP_Exp1",44,44,48,100,NA,-0.0099,-0.0073,-0.0785,-0.0526,0.0663,0.0365,713.8,716.1,"Self,Stranger","Stranger"
"Hu_2023_Exp1",20,20,60,NA,NA,-0.0159,-0.012,-0.0319,-0.0375,0.0102,0.0054,515.9,519,"Self,Stranger","Stranger"
"Kirk_2025_BJP_Exp1",35,35,12,500,1500,-0.1844,NA,-0.3456,NA,-0.0254,NA,638.8,678.6,"Close,Self,Stranger","Stranger"
"Kirk_2025_BJP_Exp2",90,90,12,500,1500,-0.1523,NA,-0.2759,NA,-0.0531,NA,633.3,663.3,"Close,Self,Stranger","Stranger"
"Kolvoort_2020_HBM_Exp1",31,31,NA,100,1500,-0.2696,-0.0549,-0.425,-0.2715,-0.1798,NA,704.6,760.1,"Close,Self,Stranger","Stranger"
"Lee_2023_Cognition_Exp1",47,47,NA,NA,1650,-0.2416,NA,-0.4577,NA,-0.0923,NA,802.9,850.3,"Friend,NonPerson,Self","Friend"
"Lee_2023_Cognition_Exp2",51,51,NA,NA,1650,-0.2371,NA,-0.4456,NA,-0.0657,NA,848.9,892.8,"Close,Self","Close"
"Liang_2022_HBM_Exp1",35,35,NA,100,1100,-0.1871,-0.1083,-0.463,-0.233,0.0686,0.0122,685.6,707.6,"Close,Self,Stranger","Stranger"
"Liu_2023_CP_Exp1",299,299,NA,800,NA,-0.166,NA,-0.1873,NA,-0.1618,NA,2055.3,1612.1,"Self,Stranger","Stranger"
"Martinez-Perez_2024_CC_Exp2",32,32,48,100,NA,-0.554,-0.1534,-0.853,-0.4323,-0.331,NA,516.7,593,"Close,Self,Stranger","Stranger"
"Mcivor_2020_EJN_Exp1",40,40,12,150,1150,-0.285,-0.2168,-0.6291,-0.5392,0.0192,0.0938,516.8,554.6,"Other,Self","Other"
"Navon_2021_Exp1",13,13,12,NA,NA,-0.4524,-0.0669,-0.5298,-0.1797,-0.4112,NA,1125.7,1417.4,"Close,Self,Stranger","Stranger"
"Navon_2021_Exp2",27,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Close,Stranger","None"
"Navon_2021_Exp3",28,28,12,NA,NA,-0.1541,NA,-0.2687,NA,-0.0566,NA,1039,1089.2,"Self,Stranger","Stranger"
"Navon_2021_Exp4",27,27,12,NA,NA,-0.156,-0.0165,-0.1991,-0.1623,-0.1171,NA,1139.4,1231.1,"Close,Self,Stranger","Stranger"
"Orellana-Corrales_2021_APP_Exp1",34,34,4,1500,1500,-0.4879,-0.2335,-0.9406,NA,-0.1493,NA,809.2,960.3,"Self,Stranger","Stranger"
"Orellana-Corrales_2021_APP_Exp2",33,33,4,1500,1500,-0.2516,NA,-0.5188,NA,-0.043,NA,680.6,732,"Self,Stranger","Stranger"
"Orellana-Corrales_2021_EP_Exp1",38,38,4,1500,1500,-0.3444,-0.2383,-0.6347,NA,-0.1105,NA,844,970.5,"Self,Stranger","Stranger"
"Orellana-Corrales_2021_EP_Exp2",33,33,4,1500,1500,-0.3775,NA,-0.6385,NA,-0.1655,NA,884.8,1062,"Self,Stranger","Stranger"
"Orellana-Corrales_2021_EP_Exp3",16,16,24,1500,1500,-0.4505,NA,-0.7051,NA,-0.2285,NA,778.7,897.6,"Self,Stranger","Stranger"
"Perrykkad_2022_BMC_Exp1",334,334,NA,100,800,-0.3164,-0.2222,-0.5428,-0.5139,-0.1372,0.0308,2470148.4,2577631,"Close,Self,Stranger","Stranger"
"Qian_2019_QJEP_Exp1",24,24,20,100,1000,-0.2089,-0.1673,-0.5471,-0.3441,0.0903,0.0092,532.6,558.9,"Celebrity,Self,Stranger","Stranger"
"Qian_2019_QJEP_Exp2",25,25,20,100,1000,-0.3362,-0.2299,-0.8992,-0.5864,0.1687,0.1036,557.7,602.6,"Celebrity,Self","Celebrity"
"Schaefer_2019_CP_Exp1",32,32,48,100,1500,0.0072,NA,-0.0385,NA,0.0277,NA,654.8,611.9,"Acquaintance,Close,NonPerson,Self","Acquaintance"
"Schaefer_2019_CP_Exp3",35,35,48,100,1500,-0.1887,-0.0356,-0.1594,NA,-0.2391,NA,611,672.7,"Acquaintance,Close,Self","Acquaintance"
"Smith_2024_Cortex_Exp1",48,0,12,100,1400,NA,NA,NA,NA,NA,NA,NA,NA,"Close,Stranger","None"
"Sui_2014_APP_Exp1",24,24,18,100,1000,-0.3718,-0.1701,-0.6791,-0.2911,-0.0922,-0.0144,617.9,671.8,"Close,Self,Stranger","Stranger"
"Sui_2014_APP_Exp2",18,18,18,100,1000,-0.2207,-0.1249,-0.3723,-0.0955,-0.2322,NA,575.9,608.3,"Close,Self,Stranger","Stranger"
"Sui_2014_APP_Exp3",22,22,18,100,1000,-0.564,-0.2743,-0.8109,-0.3557,-0.2698,NA,551.4,635.3,"Close,Self,Stranger","Stranger"
"Sui_2014_APP_Exp4",20,20,18,100,1000,-0.7116,-0.2229,-1.3541,-0.7321,-0.2521,NA,561.4,655.1,"Close,Self,Stranger","Stranger"
"Sui_2023_CC_Exp1",20,20,12,100,1100,-0.2744,-0.1293,-0.6216,-0.3209,0.0278,0.0664,688.8,724.4,"Close,Self,Stranger","Stranger"
"Svensson_2021_PR_Exp1",0,0,10,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","None"
"Svensson_2021_PR_Exp2",24,24,10,100,200,0.0185,-0.058,-0.0491,-0.1198,0.0854,0.0078,608,602.8,"Close,Self","Close"
"Svensson_2021_PR_Exp3",25,25,10,100,200,0.1822,0.033,0.2108,0.0992,0.1559,-0.0343,594.8,566.6,"Close,Self","Close"
"Svensson_2023_QJEP_Exp1",65,65,12,100,1100,-0.216,-0.2895,-0.4936,NA,0.0209,NA,641.7,681,"Close,Self","Close"
