P,T_ms,W_ms,M_ms,is_existing,pred_spe_rt_ms,uncertainty,utility_uncertainty_plus_abs_pred
0,30,1500,1530,False,65.60545802492342,13.857637255477034,30.25900176170789
0,80,1500,1580,False,65.6055053031748,13.857565681604164,30.258942007397863
0,100,1500,1600,False,65.60552257636988,13.857539774266103,30.25892041835857
0,200,1500,1700,False,65.60559490139912,13.857433571294814,30.25883229664459
0,500,1500,2000,False,65.60567146633717,13.857348307105035,30.258766173689327
8,30,1500,1530,False,65.65357772519685,13.713682902093785,30.127077333392997
8,80,1500,1580,False,65.65362513753703,13.713609915509025,30.127016199893283
8,100,1500,1600,False,65.65364246271955,13.713583481570286,30.126994097250172
8,200,1500,1700,False,65.65371503355945,13.71347497547811,30.126903733867973
8,500,1500,2000,False,65.65379219466186,13.71338610107539,30.126834149740855
15,30,1500,1530,False,65.6891401631956,13.595694425392166,30.017979466191065
15,80,1500,1580,False,65.68918768654228,13.595620238970655,30.017917160606224
15,100,1500,1600,False,65.68920505490942,13.595593357169383,30.01789462089674
15,200,1500,1700,False,65.6892778312324,13.595482886685238,30.01780234449334
15,500,1500,2000,False,65.68935550438096,13.595390868594976,30.017729744690214
30,30,1500,1530,False,65.74472108095011,13.369242784362138,29.805423054599665
30,80,1500,1580,False,65.74476882209899,13.369166164406218,29.805358369930964
30,100,1500,1600,False,65.74478627568337,13.369138372131824,29.805334941052664
30,200,1500,1700,False,65.7448594617758,13.36902388880715,29.8052387542511
30,500,1500,2000,False,65.74493820105926,13.368925228032227,29.80515977829704
60,30,1500,1530,False,65.77123743211044,13.032824022199037,29.475633380226647
60,80,1500,1580,False,65.77128552549232,13.032743264900486,29.475564646273565
60,100,1500,1600,False,65.77130311906177,13.032713914732897,29.475539694498337
60,200,1500,1700,False,65.77137699729528,13.032592473804302,29.47543672312812
60,500,1500,2000,False,65.77145773515025,13.032481259876752,29.475345693664316
120,30,1500,1530,False,65.48608361489205,12.87471543102531,29.246236334748325
120,80,1500,1580,False,65.48613207155721,12.874630444082257,29.24616346197156
120,100,1500,1600,False,65.48614982020646,12.874599449200216,29.246136904251834
120,200,1500,1700,False,65.48622455755205,12.874470188834662,29.246026328222676
