subj_idx,rt,response,identity,omission,group_id,P,T_ms,W_ms,M_ms,GroupLabel,data_quality,Identity,Response
0,0.3299999999999999,0,0,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Self,NonMatching
0,0.238539800004219,1,1,0,1,0,30,300,330,G1 | P0_T30_W300,exclude,Stranger,Matching
0,0.3299999999999999,0,0,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Self,NonMatching
0,0.3299999999999999,0,1,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Stranger,NonMatching
0,0.3299999999999999,0,0,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Self,NonMatching
0,0.3299999999999999,0,1,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Stranger,NonMatching
0,0.3299999999999999,0,0,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Self,NonMatching
0,0.3299999999999999,0,1,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Stranger,NonMatching
0,0.3299999999999999,0,1,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Stranger,NonMatching
0,0.3299999999999999,0,0,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Self,NonMatching
0,0.3299999999999999,0,1,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Stranger,NonMatching
0,0.3299999999999999,0,0,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Self,NonMatching
0,0.3299999999999999,0,0,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Self,NonMatching
0,0.3299999999999999,0,1,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Stranger,NonMatching
0,0.3299999999999999,0,1,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Stranger,NonMatching
0,0.3299999999999999,0,0,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Self,NonMatching
0,0.3299999999999999,0,0,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Self,NonMatching
0,0.3299999999999999,0,1,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Stranger,NonMatching
0,0.3299999999999999,0,1,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Stranger,NonMatching
0,0.3299999999999999,0,0,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Self,NonMatching
0,0.25732149999385,1,0,0,1,0,30,300,330,G1 | P0_T30_W300,exclude,Self,Matching
0,0.278111999999965,1,1,0,1,0,30,300,330,G1 | P0_T30_W300,exclude,Stranger,Matching
0,0.3299999999999999,0,0,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Self,NonMatching
0,0.3299999999999999,0,1,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Stranger,NonMatching
0,0.3299999999999999,0,1,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Stranger,NonMatching
0,0.234496999997646,1,0,0,1,0,30,300,330,G1 | P0_T30_W300,exclude,Self,Matching
0,0.3299999999999999,0,0,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Self,NonMatching
0,0.3299999999999999,0,1,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Stranger,NonMatching
0,0.3299999999999999,0,0,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Self,NonMatching
0,0.3299999999999999,0,1,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Stranger,NonMatching
0,0.3299999999999999,0,0,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Self,NonMatching
0,0.3299999999999999,0,1,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Stranger,NonMatching
0,0.3299999999999999,0,0,1,1,0,30,300,330,G1 | P0_T30_W300,exclude,Self,NonMatching
