rank,P,T_ms,W_ms,M_ms,total_uncertainty,v_std,a_std,t_std,z_std
1,42.857142857142854,500.0,300.0,800.0,2.582543893216768,1.8711270630182322,0.46112290334085565,0.13163087960171252,0.11866304725596714
2,51.42857142857143,500.0,300.0,800.0,2.582543889274824,1.8711270630182322,0.46112290334085565,0.13163087612893798,0.11866304678679834
3,42.857142857142854,500.0,385.7142857142857,885.7142857142858,2.5825438841358226,1.8711270630182322,0.46112290334085565,0.13163087099624543,0.11866304678048957
4,34.285714285714285,500.0,300.0,800.0,2.582543883370648,1.8711270630182322,0.46112290334085565,0.13163087037238158,0.11866304663917852
5,34.285714285714285,500.0,385.7142857142857,885.7142857142858,2.5825438743146827,1.8711270630182322,0.46112290334085565,0.1316308617873486,0.11866304616824615
6,51.42857142857143,500.0,385.7142857142857,885.7142857142858,2.5825438730407284,1.8711270630182322,0.46112290334085565,0.13163086095995122,0.11866304572168924
7,25.714285714285715,500.0,300.0,800.0,2.582543866073995,1.8711270630182322,0.46112290334085565,0.13163085428349475,0.11866304543141198
8,60.0,500.0,300.0,800.0,2.5825438600055906,1.8711270630182322,0.46112290334085565,0.13163084970739536,0.1186630439391071
9,42.857142857142854,500.0,471.42857142857144,971.4285714285714,2.58254385802424,1.8711270630182322,0.46112290334085565,0.13163084642876122,0.11866304523639103
10,25.714285714285715,500.0,385.7142857142857,885.7142857142858,2.5825438547088178,1.8711270630182322,0.46112290334085565,0.1316308435481663,0.1186630448015635
11,34.285714285714285,500.0,471.42857142857144,971.4285714285714,2.58254384737848,1.8711270630182322,0.46112290334085565,0.1316308366241046,0.11866304439528766
12,17.142857142857142,500.0,300.0,800.0,2.5825438468601583,1.8711270630182322,0.46112290334085565,0.13163083650010066,0.11866304400096979
