group_id,identity,P,T_ms,W_ms,n_subjects,n_trials,acc,omission_rate,correct_rt_mean_ms,correct_rt_sd_ms,correct_rt_q10_ms,correct_rt_q50_ms,correct_rt_q90_ms
1,self,0.0,30.0,300.0,11,1430,0.15384615384615385,0.713986013986014,260.8051545451665,31.263911432620972,233.17454000934939,249.77959995158,313.9072799589485
1,stranger,0.0,30.0,300.0,11,1430,0.14335664335664336,0.7321678321678322,258.645919999484,31.01560011081436,233.21151999989502,242.778300002101,309.85109998728154
2,self,0.0,30.0,600.0,12,1560,0.31474358974358974,0.4967948717948718,446.1513242367169,127.16983378588975,234.284000005573,475.254199991468,596.253099996829
2,stranger,0.0,30.0,600.0,12,1560,0.20897435897435898,0.551923076923077,425.58145306851844,139.8296352104679,234.1837999993,443.4165000056965,604.607649962418
3,self,120.0,30.0,600.0,10,1300,0.32461538461538464,0.38846153846153847,401.6777232221533,138.4646074271422,233.7917399963772,393.7824000022375,588.8545099944172
3,stranger,120.0,30.0,600.0,10,1300,0.3261538461538461,0.38384615384615384,380.0341332556665,132.45586592257092,233.5551799682433,363.304850019631,584.0547099847755
4,self,120.0,80.0,600.0,11,1430,0.5167832167832168,0.34475524475524477,516.8837466847785,105.57621860942848,360.2936199938996,522.41309999954,647.498019997147
4,stranger,120.0,80.0,600.0,11,1430,0.386013986013986,0.4230769230769231,520.2954516300858,113.0336760380421,328.95567999439675,537.1070500006455,649.8298199978308
5,self,8.0,100.0,1100.0,11,1430,0.7447552447552448,0.09160839160839161,685.504213896103,179.09986559757346,487.4507200089282,664.8775000358,926.8314999761058
5,stranger,8.0,100.0,1100.0,11,1430,0.6216783216783217,0.12727272727272726,747.9984853762594,183.18137695966365,536.5815800032581,733.7879000115211,1000.8454800117781
6,self,120.0,500.0,1500.0,10,1300,0.8953846153846153,0.06461538461538462,877.0162875444014,213.75226664098412,704.1012300032891,817.8763999094369,1159.4443299967672
6,stranger,120.0,500.0,1500.0,10,1300,0.8792307692307693,0.047692307692307694,944.8490694646274,259.3514799908336,704.7088600695132,865.635099995416,1305.034559982598
7,self,120.0,30.0,800.0,12,1560,0.7224358974358974,0.1141025641025641,601.8503952991241,132.97040777829824,439.5580798853188,603.448799811304,776.0088599752638
7,stranger,120.0,30.0,800.0,12,1560,0.6442307692307693,0.1717948717948718,616.2734395043897,135.79164235016918,446.90910009667306,618.432099930942,791.8365599587557
8,self,120.0,80.0,800.0,11,1430,0.7244755244755244,0.11818181818181818,616.2723832070184,123.55579378859886,472.7559000602925,615.257800091058,777.9363000299779
8,stranger,120.0,80.0,800.0,11,1430,0.6629370629370629,0.17552447552447553,627.3697983127024,127.36904434186432,486.4433599752376,631.8318000412545,792.8992800414561
