rank,P,T_ms,W_ms,M_ms,total_uncertainty,v_self_std,v_stranger_std,a_std,t_std,z_std
1,35,500,300,800,4.8330078348739,2.087254293842145,2.0318479406235594,0.453776416764334,0.1297010280314631,0.13042815561239832
2,30,500,300,800,4.833007710750327,2.087254293842145,2.0318479406235523,0.453776416764334,0.12970102714412496,0.13042803237617154
3,25,500,300,800,4.8330069286347,2.087254293842145,2.0318479406235403,0.453776416764334,0.12970102606912315,0.13042725133555697
4,40,500,300,800,4.833006882982315,2.087254293842145,2.031847940623564,0.453776416764334,0.1297010286476884,0.13042720310458353
5,30,500,350,850,4.8330062384182835,2.087254293842145,2.0318479406235515,0.453776416764334,0.12970102680594273,0.1304265603823103
6,35,500,350,850,4.8330062151906885,2.087254293842145,2.0318479406235594,0.453776416764334,0.1297010277445242,0.13042653621612627
7,20,500,300,800,4.833005843399104,2.087254293842145,2.031847940623524,0.453776416764334,0.1297010249097653,0.130426167259336
8,25,500,350,850,4.833005526051473,2.087254293842145,2.03184794062354,0.453776416764334,0.12970102566865885,0.1304258491527947
9,40,500,350,850,4.8330049852564265,2.087254293842145,2.031847940623564,0.453776416764334,0.1297010283765457,0.13042530564983834
10,15,500,300,800,4.833004746511239,2.087254293842145,2.031847940623505,0.453776416764334,0.1297010237961145,0.1304250714851415
11,20,500,350,850,4.833004473868619,2.087254293842145,2.0318479406235235,0.453776416764334,0.12970102445269674,0.1304247981859206
12,45,500,300,800,4.8330043767517585,2.087254293842145,2.031847940623566,0.453776416764334,0.12970102890131027,0.13042469662040387
13,30,500,400,900,4.8330041450615395,2.087254293842145,2.031847940623549,0.453776416764334,0.12970102608019313,0.13042446775131938
14,35,500,400,900,4.8330039918743894,2.087254293842145,2.0318479406235577,0.453776416764334,0.12970102714384923,0.13042431350050399
15,10,500,300,800,4.833003865793472,2.087254293842145,2.031847940623486,0.453776416764334,0.1297010228727889,0.1304241916907194
16,25,500,400,900,4.833003477584777,2.087254293842145,2.0318479406235355,0.453776416764334,0.1297010248020396,0.13042380155272337
17,15,500,350,850,4.833003402719778,2.087254293842145,2.0318479406235044,0.453776416764334,0.1297010233001257,0.13042372818966932
18,5,500,300,800,4.833003364671138,2.087254293842145,2.031847940623473,0.453776416764334,0.12970102227337812,0.13042369116780805
19,0,500,300,800,4.833003341899396,2.087254293842145,2.0318479406234675,0.453776416764334,0.12970102209083442,0.1304236685786143
20,10,500,350,850,4.833002559479226,2.087254293842145,2.031847940623486,0.453776416764334,0.1297010223632374,0.13042288588602455
