condition_id,P_target,T_ms_target,W_ms_target,label,n_trials,n_responded,acc,omit_rate,rt_median
C1,0,30.0,300.0,self,4590,1102,0.20065359477124184,0.7599128540305011,0.2730000000000001
C1,0,30.0,300.0,stranger,4590,854,0.11176470588235295,0.8139433551198257,0.255
C2,0,30.0,600.0,self,2160,987,0.4111111111111111,0.5430555555555555,0.4210000000000001
C2,0,30.0,600.0,stranger,2160,749,0.23935185185185184,0.6532407407407408,0.4220000000000001
C3,8,100.0,1100.0,self,14550,11322,0.7464604810996563,0.2218556701030928,0.5395000000000003
C3,8,100.0,1100.0,stranger,14550,7715,0.3846048109965636,0.4697594501718213,0.6470000000000004
C4,120,30.0,600.0,self,2460,1372,0.4764227642276423,0.44227642276422763,0.5015000000000003
C4,120,30.0,600.0,stranger,2460,1158,0.2886178861788618,0.5292682926829269,0.5070000000000002
C5,120,80.0,600.0,self,17730,10350,0.5597856739988719,0.41624365482233505,0.4410000000000001
C5,120,80.0,600.0,stranger,17730,6267,0.2560067681895093,0.6465313028764805,0.4880000000000002
C6,120,500.0,1500.0,self,18510,16280,0.8764451647757968,0.12047541869259859,0.4790000000000002
C6,120,500.0,1500.0,stranger,18510,10312,0.44754186925985956,0.4428957320367369,0.6480000000000004
