,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.5016567112717853,0.15482102912191817,1.2281336075471287,1.3991612503490827,1.485309508342335,1.591358729443074,1.8523424348697641,0.004668631925762046
a_std,0.5291185871137135,0.1549455297930239,0.32383883495984167,0.4260517797621621,0.5018539808085891,0.5931343974408014,0.9436404185828005,0.005648706935841371
a_subj.0,1.1710233519407949,0.04043744446072956,1.0962425651267012,1.1421755439144698,1.170368057166547,1.197743588747207,1.2546452167866033,0.0012519493684260933
a_subj.1,2.2917246528500836,0.1181174873282035,2.0647438222901973,2.2095250521684107,2.28731500901233,2.367136675350102,2.5350149482278432,0.006973397693253014
a_subj.2,1.3181183225664403,0.04646317331365515,1.2289673555499405,1.2871390079422276,1.3177281097494238,1.3472629421293787,1.4130052466522047,0.001529824003504399
a_subj.3,2.0527966167537053,0.09664228942528376,1.8660804079862432,1.9874021709761132,2.0515319783162678,2.11821271249941,2.2475800857985506,0.005344015048536344
a_subj.4,1.0213507848005399,0.032717063200391916,0.9561600299335116,0.999600924194133,1.0216588524305439,1.042401975900876,1.0877983623909935,0.0010122944942960856
a_subj.5,1.5691740412179311,0.05709788696790594,1.4572108585278443,1.5296483118149575,1.5683418439395374,1.6069355265048997,1.6829771001860125,0.0017231895376935574
a_subj.6,0.8724312819831903,0.02713939493113411,0.8236919853274329,0.8529750608338762,0.8713579977758377,0.8906119697932009,0.9272232383592447,0.0009448546778017557
a_subj.7,2.0440575089560427,0.08651713209010362,1.8789097628814113,1.984684459293564,2.0415605648444175,2.101997957368596,2.2211228880553158,0.004454092531252976
a_subj.8,1.0158453301258017,0.031435892670196516,0.9561477486647443,0.994125576297278,1.0146790302337068,1.0373793596492122,1.0784418662409383,0.0006065612632060061
a_subj.9,1.3290960621068189,0.046760556517910834,1.2396781586024532,1.2974124234779032,1.3279460779370238,1.3604566367781894,1.4234699676209632,0.0014384882618509061
a_subj.10,1.7065064361336255,0.06359271788963135,1.5825050703603973,1.6648465356696138,1.7052121899636594,1.7473304516914159,1.8379837182068732,0.0021137965072336776
a_subj.11,1.220952123686727,0.04133480150174006,1.1414452549278526,1.1929755056653837,1.220369934374064,1.2490146592962175,1.3011259469532557,0.001299407107706671
v(0),-1.9409555840182722,0.3575803990373425,-2.6600763509353764,-2.1752656200272935,-1.9338901414815401,-1.7134269209058826,-1.2230104028770539,0.006902483356277562
v(1),-1.2344814559851465,0.3649525694048912,-1.957328882638894,-1.4790748739941648,-1.2341548259629915,-1.001178448816802,-0.5053637889741576,0.007403465728965404
v_std,1.242437283018731,0.19997801169978358,0.9072393569240251,1.09825319965372,1.2155545314230354,1.3620013880518202,1.6981314041847533,0.006033425569799447
v_subj(0).0,-1.1770772093512794,0.17387334102410007,-1.5041974849429476,-1.297639909155143,-1.1764167750735797,-1.0607236012076113,-0.818459807988229,0.004725720767465425
v_subj(0).1,-3.5673319391481884,0.22844995843556876,-4.038649523070118,-3.7161844815233915,-3.5625662604747435,-3.4144961421912727,-3.1266180467879874,0.01238727567046069
v_subj(0).2,-2.6686831743091646,0.22210471533123852,-3.128476384441923,-2.8132280953970077,-2.667429704212842,-2.520424816421149,-2.239679563621399,0.007744698134484476
v_subj(0).3,-3.102085283950507,0.20824008227837063,-3.5090497114745878,-3.243141552379509,-3.100620423477704,-2.9547763169222216,-2.6982685568549964,0.010142886302413848
v_subj(0).4,-0.6536650863257917,0.18672534338462674,-1.019975909997167,-0.7763808384095298,-0.6550989277392032,-0.527441790428,-0.29009723113513775,0.004958018574889896
v_subj(0).5,-2.15018558778293,0.18639783068336685,-2.507173268183494,-2.27618221827736,-2.157076073294684,-2.025081719806014,-1.7767759983576286,0.005776394324401701
v_subj(0).6,-1.0092829620056516,0.20960374674442672,-1.4208840468500246,-1.1569148984977198,-1.007025837974279,-0.8610071040980987,-0.6036599008487689,0.004885727348269416
v_subj(0).7,-3.375782848168486,0.2246825295679208,-3.8325388526141024,-3.5257111940355657,-3.371981259034896,-3.2227678827187693,-2.937936243232515,0.010377927069956001
v_subj(0).8,-0.23435555826566687,0.2186316686091943,-0.6746852700289097,-0.3819566789969285,-0.234860479599722,-0.07784251177313656,0.17874322952807675,0.005386802929398007
