,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.2027573225636963,0.09989558481195876,1.0225298694838187,1.1376331870576004,1.1938099443610741,1.2610854012438744,1.4176789222418649,0.0026330851065543945
a_std,0.31066015512939205,0.0865424097325811,0.18896013043223991,0.25173029461338436,0.2947349678264475,0.35218535845246896,0.5276078716271516,0.002644018116650481
a_subj.0,1.4310091709478894,0.07330054664323171,1.2969093546190011,1.3792780575754868,1.4307488142905265,1.4771401036553065,1.5880988657346613,0.00310695608040078
a_subj.1,0.9329452084595683,0.033639575987456795,0.8712732908386328,0.9097049815620811,0.9319159767140925,0.9541960183363836,1.0025419110107865,0.0009239538302144983
a_subj.2,1.2997355457453665,0.06657814178531268,1.1719751650776655,1.254355134410375,1.2973197970847887,1.3440249944059683,1.4353380135608131,0.0024884329952748986
a_subj.3,1.3194983024565659,0.06798318666750834,1.187830291626859,1.2760924712029433,1.315980900150599,1.362661706797367,1.460053955213461,0.003073604579220626
a_subj.4,1.162128350228317,0.062114468362206784,1.0599250810280154,1.119523608765654,1.154550068294332,1.1985465137279867,1.309395603720569,0.0034238238274049695
a_subj.5,1.3789594501230344,0.09449979271887762,1.2156892894941556,1.31287103037949,1.370835894490066,1.4350349495657735,1.589014147549067,0.005070890487744356
a_subj.6,1.3706857198123104,0.07078436661869993,1.2411380198456095,1.3210544085169933,1.3664228362321222,1.417377288139007,1.5232555401495456,0.0033694876435272094
a_subj.7,0.7118554036772754,0.028436565748353328,0.654968925961626,0.6930796956492777,0.7123962140988167,0.7314001779272132,0.7643743833887118,0.0010394235520496285
a_subj.8,0.892570645514779,0.03851317207299201,0.8306405026002992,0.8679593996025017,0.8905432965322178,0.9144048043874929,0.9643065031743707,0.0013602853778508525
a_subj.9,1.4614384943308572,0.08172743258338053,1.313089942873154,1.4058859281702678,1.4547201740919056,1.5136750073340521,1.6346381272509958,0.0031744719928678347
a_subj.10,1.1185200365866592,0.03949896006621933,1.0417425407193157,1.0923435902836418,1.1184657560750733,1.1450048503433647,1.197418951079162,0.0013486461560191447
v(0),1.628292187805173,0.33903566688545295,0.9771292740277352,1.3957397941636207,1.62824588647583,1.8488962656163035,2.325646963889204,0.00797429915862154
v(1),2.5634074686729447,0.338928605592003,1.9182220488280746,2.3419116394824657,2.5657597129723126,2.785415026828345,3.2228384563722616,0.007353615691441421
v_std,1.079977253607797,0.20067087570031966,0.7689937528117203,0.9368499521499563,1.053942139801776,1.1927661119842405,1.5603653600719096,0.00613911374770079
v_subj(0).0,2.2782345511502564,0.23719066800766936,1.8052088104148092,2.1233475447742376,2.2774416194064204,2.433243405850251,2.749620367017905,0.00856511925121542
v_subj(0).1,0.39919763321187696,0.23514047936692012,-0.0770624880311801,0.23805084457749226,0.39894987936293447,0.557348363846121,0.8564481889069283,0.005764731976503195
v_subj(0).2,1.4619574107299529,0.21612466862757673,1.0558705303743392,1.313313953962492,1.4577600996493962,1.6086043431447705,1.894748946023036,0.006366195952853942
v_subj(0).3,1.9745088632985472,0.21475885494194724,1.548876605900287,1.8333016970593872,1.972382899995471,2.1229789792402673,2.386628942019339,0.006878426702339208
v_subj(0).4,2.938939376990526,0.25170353161868647,2.458227497836205,2.763375359529946,2.934746510044934,3.1163812865141898,3.435762818906632,0.009684040454112237
v_subj(0).5,1.82689903700328,0.24840357214305706,1.3438855449496598,1.6606966328156056,1.8237493473571078,1.9901810824359232,2.314934517303336,0.008125970480103707
v_subj(0).6,2.6195499522516448,0.22846436695379696,2.1718745865007354,2.4670699121721507,2.6103176180871923,2.770631463951559,3.085927239254006,0.008847211829220585
v_subj(0).7,0.06683648068665542,0.28670878954218054,-0.4756796262942622,-0.12941575156625085,0.06510399849315812,0.2669451832386882,0.6327491798081222,0.007769339892919301
v_subj(0).8,1.862866583032922,0.25426216473284124,1.379137284348158,1.6906908591823975,1.8645329456705206,2.0237635760292205,2.3938430131746458,0.006878732698829659
v_subj(0).9,1.1203374908571162,0.24475375303512747,0.6509215174247567,0.9554760586424682,1.1166810576737074,1.2754987064632501,1.6096553623412893,0.006976884370066013
v_subj(0).10,1.2552857867113496,0.2012647945902293,0.8620196670047545,1.1170501900655072,1.2578376327972738,1.3958111210890087,1.6446897129449887,0.005384741158398315
v_subj(1).0,2.84052526908961,0.25036558677209503,2.3603517289502602,2.672600950527938,2.832459612511449,3.017122569624269,3.3241527510604687,0.009485612244500128
v_subj(1).1,1.651426385929657,0.23697036214599176,1.1718692330363656,1.4944058515183143,1.6558821411261042,1.8127044777100545,2.1019296664495872,0.006035678167104568
v_subj(1).2,3.3091377743218096,0.284420176103097,2.772344996013387,3.1096527398596994,3.304513744217295,3.4977777160168944,3.877761229662009,0.009169593610952364
v_subj(1).3,3.401093544937043,0.272463703542462,2.8900039426962687,3.211300750674016,3.3978931201765823,3.5794971177089394,3.933877199045341,0.009680664123489276
v_subj(1).4,3.5366017748220644,0.26470273950224676,3.0219142629523312,3.360134404352271,3.5281679322819297,3.7208240822186807,4.056554910502735,0.009735432113401808
v_subj(1).5,3.620120478896577,0.2820130817071118,3.0771671620397765,3.4385837530660086,3.61475288736757,3.8053343492621168,4.194936148688599,0.010109657051998063
v_subj(1).6,3.371519507279571,0.26852371522873764,2.8443643204892597,3.18941079131198,3.3690921266242215,3.5508422268719695,3.890365831251218,0.011000524664316013
v_subj(1).7,0.07349037530758412,0.28631555039898976,-0.4875034993548656,-0.11478495305503306,0.07399976399755703,0.2573514591828584,0.6481816171143102,0.007523183007880884
v_subj(1).8,2.6186146700772728,0.27677740512612387,2.086474450973416,2.432425181541474,2.614456311437715,2.805884614481082,3.1562959476822905,0.006919746135808565
v_subj(1).9,2.053596875973323,0.24076662712861288,1.5828452435397369,1.8961953369107478,2.0476307047561826,2.214205901639973,2.5490332680196297,0.008898406395488615
v_subj(1).10,1.8585295094659195,0.2140984870273638,1.419019744554641,1.7138818371605127,1.8568692410333152,2.000348170924841,2.2835458868700673,0.006034725717230077
t,0.36913298052752025,0.02589351379903064,0.32068018992016056,0.35271851074853233,0.3675500286734197,0.38445509320823446,0.42685890466766024,0.0005849116048201049
t_std,0.0793037955261316,0.02296018764012309,0.04795080198739761,0.06335857862573332,0.07437317629009046,0.0898571035294013,0.1374404761679756,0.0008209439407670993
t_subj.0,0.3060723396239743,0.010170466935212924,0.28634478131164265,0.30041835011259377,0.3060794625830646,0.3118379381184804,0.32422607516629026,0.0004406865789300654
t_subj.1,0.4387396444457161,0.0065591412503489795,0.4219437925720483,0.43655116396036076,0.44005925618052605,0.4427286560286003,0.4492598480318046,0.0002103825951831002
