subj_idx,rt,response,identity,omission
0,0.63,0,0,1
0,0.63,0,1,1
0,0.63,0,0,1
0,0.63,0,1,1
0,0.63,0,0,1
0,0.63,0,1,1
0,0.559998700002325,0,0,0
0,0.570764999996754,0,1,0
0,0.63,0,1,1
0,0.63,0,0,1
0,0.523825700001908,0,1,0
0,0.391463100000692,0,0,0
0,0.63,0,0,1
0,0.23401699999522,1,1,0
0,0.63,0,1,1
0,0.63,0,0,1
0,0.521555200000876,1,0,0
0,0.394826899995678,0,1,0
0,0.554235800002061,1,1,0
0,0.63,0,0,1
0,0.521813200000906,0,0,0
0,0.410511800000677,0,1,0
0,0.378295600006822,1,0,0
0,0.329178599997249,1,1,0
0,0.426328900000954,1,1,0
0,0.472800100003951,1,0,0
0,0.63,0,0,1
0,0.63,0,1,1
0,0.63,0,0,1
0,0.63,0,1,1
0,0.63,0,0,1
0,0.63,0,1,1
0,0.63,0,0,1
0,0.245526200000313,1,1,0
0,0.332773699999962,0,1,0
0,0.281598199995642,1,0,0
0,0.602532099997916,0,1,0
0,0.63,0,0,1
0,0.553938400000334,0,0,0
0,0.537885199999437,0,1,0
0,0.378081499999098,0,1,0
0,0.63,0,0,1
0,0.63,0,1,1
0,0.63,0,0,1
0,0.378149599993776,1,0,0
0,0.63,0,1,1
0,0.394470400002319,1,1,0
0,0.314568300003884,1,0,0
0,0.506378500002029,1,1,0
0,0.602494400001888,1,0,0
0,0.392632499999308,1,1,0
0,0.568742599993129,0,0,0
0,0.63,0,1,1
0,0.63,0,0,1
0,0.63,0,1,1
0,0.63,0,0,1
0,0.63,0,0,1
0,0.63,0,1,1
0,0.63,0,0,1
0,0.63,0,1,1
0,0.63,0,0,1
0,0.437685599994438,1,1,0
0,0.63,0,0,1
0,0.63,0,1,1
0,0.37898070000665,0,1,0
0,0.410365600000659,1,0,0
0,0.346051799999259,1,0,0
0,0.36101459999918,0,1,0
0,0.362967100001697,0,0,0
0,0.313609299999371,0,1,0
0,0.330613600002835,0,0,0
0,0.361510599999747,0,1,0
0,0.251700900000287,0,1,0
0,0.459864500000549,0,0,0
0,0.570894800002861,0,1,0
0,0.394231500002206,0,0,0
0,0.620062300004065,1,1,0
0,0.344497400001273,1,0,0
0,0.63,0,1,1
0,0.560603099998843,1,0,0
0,0.538497099994856,1,0,0
0,0.329859799996484,0,1,0
0,0.393178300000727,1,1,0
0,0.345799100003205,0,0,0
0,0.378147299998091,1,1,0
0,0.361992099999043,1,0,0
0,0.345537000001059,0,0,0
0,0.331064400001196,0,1,0
0,0.299608900000749,0,1,0
0,0.293091699997603,0,0,0
0,0.266125199996168,0,0,0
0,0.234074599997257,0,1,0
0,0.234142799999972,0,0,0
0,0.234203599997272,1,1,0
0,0.492240000006859,1,1,0
0,0.345127499997034,0,0,0
0,0.238806699999259,0,0,0
0,0.265946300001815,1,1,0
0,0.298064599999634,1,1,0
0,0.282509600001504,1,0,0
0,0.234085700001742,0,1,0
0,0.234151299999212,1,0,0
0,0.23410259999946,1,0,0
0,0.236160500004189,0,1,0
0,0.63,0,1,1
0,0.63,0,0,1
0,0.577327200000582,0,0,0
0,0.409350599999016,1,1,0
0,0.63,0,0,1
0,0.63,0,1,1
0,0.63,0,1,1
0,0.63,0,0,1
0,0.455905899994832,0,1,0
0,0.281139200000325,1,0,0
0,0.521299099993485,0,0,0
0,0.63,0,1,1
0,0.63,0,0,1
0,0.63,0,1,1
0,0.63,0,0,1
0,0.63,0,1,1
0,0.63,0,0,1
0,0.63,0,1,1
0,0.63,0,1,1
0,0.63,0,0,1
0,0.491570799997135,0,1,0
0,0.63,0,0,1
0,0.63,0,1,1
0,0.48923630000354,1,0,0
0,0.378979500004789,0,0,0
0,0.409672000001592,1,1,0
0,0.408846199999971,1,0,0
0,0.537985299997672,1,1,0
0,0.617880800004059,0,1,0
0,0.63,0,0,1
0,0.63,0,0,1
0,0.63,0,1,1
0,0.601341599998705,0,0,0
0,0.361249800000223,1,1,0
0,0.329762600005779,0,0,0
0,0.281629400000384,1,1,0
0,0.29663779999828,1,1,0
0,0.264696099999128,0,0,0
0,0.234870599997521,0,1,0
0,0.233874599995033,1,0,0
0,0.265528599993559,0,1,0
0,0.248522499998217,1,0,0
0,0.248583000000508,0,0,0
0,0.265505300005316,1,1,0
0,0.24887330000638,0,0,0
0,0.234053400003177,1,1,0
0,0.248871799994959,0,1,0
0,0.234005799997249,0,0,0
0,0.233900100000028,0,0,0
0,0.234233800001675,0,1,0
0,0.234071500002756,0,0,0
0,0.233955199997581,1,1,0
0,0.621640900004422,1,0,0
0,0.63,0,1,1
0,0.63,0,1,1
0,0.63,0,0,1
0,0.63,0,0,1
0,0.63,0,1,1
0,0.55935010000394,1,0,0
0,0.63,0,1,1
0,0.63,0,1,1
0,0.63,0,0,1
0,0.63,0,1,1
0,0.63,0,0,1
0,0.63,0,0,1
0,0.63,0,1,1
0,0.518637399996805,0,1,0
0,0.584807700004603,1,0,0
0,0.632819699996617,0,0,0
0,0.63,0,1,1
0,0.63,0,0,1
0,0.63,0,1,1
0,0.63,0,0,1
0,0.63,0,1,1
0,0.63,0,0,1
0,0.569672899997386,0,1,0
0,0.616955199999211,0,0,0
0,0.63,0,1,1
0,0.4921200999961,0,1,0
0,0.327645299999858,0,0,0
0,0.63,0,1,1
0,0.423580899994704,1,0,0
0,0.616489799998817,0,1,0
0,0.296490599997924,1,0,0
