,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.1804457894582934,0.3987796573054792,0.5251082293575696,0.8969002036952973,1.1321938561150156,1.420460195628655,2.104837495479095,0.022199996641288963
a_std,2.8375375730621166,0.9476663091006124,1.2879844409055459,2.163271396435399,2.7273951583362246,3.4137170169181346,4.991255676527965,0.0528546984334047
a_subj.0,1.1583657951963466,0.042434734391861184,1.0776465158323392,1.129183911013154,1.1558916514622093,1.186775978694804,1.245263722593914,0.0014714501299235138
a_subj.1,2.7483015291336317e-08,2.9844211722722473e-09,2.3726873683905533e-08,2.551799376906386e-08,2.6817677889797204e-08,2.8754697051205664e-08,3.529235668168816e-08,1.9621560072124885e-10
a_subj.2,1.0716750536544566,0.051298916760135885,0.9688024597070325,1.0388944465780794,1.0720397115912144,1.1059397109566438,1.1717069812395988,0.003060253489603372
a_subj.3,2.7552467870762814e-08,3.2805072841607207e-09,2.344103520899389e-08,2.5376829704099146e-08,2.684815722226673e-08,2.8719101329287416e-08,3.6724408276383214e-08,2.2337729708248443e-10
a_subj.4,1.0131660242135294,0.03241302025634067,0.9528950767818406,0.9903389628672736,1.0123499187566518,1.034731460399537,1.0781446090805533,0.0009396799889908539
a_subj.5,5.230729915560828,0.41120554590260383,4.569098417288721,4.867139842506286,5.189015886389964,5.612137490599718,5.8665686961859,0.040876464561901645
a_subj.6,0.8610935687778527,0.027399364475958136,0.8082908621660252,0.8416221741366844,0.8603066395901751,0.8790507809227934,0.9181478364581614,0.0010510110603555466
a_subj.7,2.7256902677900203e-08,2.7969537803401282e-09,2.3257207702870726e-08,2.5275788320143232e-08,2.6661954087093988e-08,2.874145675598206e-08,3.3855733323219706e-08,1.6315669067511312e-10
a_subj.8,0.8396880475108003,0.026176593133781983,0.7889118180461437,0.8213113424351213,0.8398583782099538,0.8571788938557321,0.8934521951635753,0.0006127442530055729
a_subj.9,2.933947579648634,1.5857559219920523,0.38885363336721657,1.9733636022795231,2.5426134330347736,3.897039226534935,6.07452092135002,0.1585039259109779
a_subj.10,1.267454287254207,0.05215091811711096,1.1696104843216062,1.2311490371076805,1.2675517125818463,1.3034652636893191,1.3711643503699733,0.002379124437170932
a_subj.11,1.3080272305758738,0.06116344102524831,1.2026332700904683,1.2651688329941893,1.30355205324347,1.3445996081295177,1.4539610677168562,0.0030505352993766928
v(0),-2.6198594305648983,2.917459918752131,-8.330278764118871,-4.593412706867211,-2.563063191615556,-0.6444782942045437,3.0587701999141883,0.05752549614619249
v(1),-2.5309410341081247,2.9657752218277547,-8.366215057205277,-4.519137324381165,-2.508015976818589,-0.5432191438742799,3.189214796879801,0.05567297773095309
v_std,33.8323490836439,4.375034421529547,24.770827905660727,30.786363474242304,34.694737945332086,37.45946475132602,40.046167136190746,0.42685101315099966
v_subj(0).0,-1.0961837389479383,0.18170076855749506,-1.4500350323224174,-1.2196996019673312,-1.09475950697145,-0.9740569197866829,-0.7433121823522599,0.005275758894070748
v_subj(0).1,-3.253368933697134,33.67656354520013,-69.08460009342133,-26.58646409322948,-3.640310308525379,19.178624420409136,66.5961170699552,0.6842585574851617
v_subj(0).2,-3.4267444651670442,0.29659831004802173,-3.991593095102413,-3.6300009662434087,-3.4286024241120283,-3.2311456093316733,-2.8369375859981005,0.012926524294636777
v_subj(0).3,-2.5448433491603044,34.68062250607934,-73.22144911526188,-25.219705279988084,-1.4519022349271093,20.017497283391293,66.93681114359273,0.649661675556245
v_subj(0).4,-0.5518507396367022,0.1908775601347296,-0.9270721830275643,-0.6771293588346646,-0.5532032841410427,-0.4279653152620777,-0.1709829477269238,0.0046048242189323215
v_subj(0).5,-330.5480217509639,74.59017838740009,-440.908537255874,-394.0130541584344,-341.2772585174545,-273.9843011635918,-189.56209943141496,7.446708031328041
v_subj(0).6,-0.9173651248383833,0.217207487574767,-1.3406797340090861,-1.0614606818467707,-0.9183633055398648,-0.7623302360637305,-0.5004639597104795,0.005247853435935345
v_subj(0).7,-2.2856068798631104,34.44933794986636,-68.16776174375414,-24.67047599342829,-2.86760252575435,20.24895086684362,67.77213637639642,0.6384501797429563
v_subj(0).8,-0.2551673997051943,0.2608555223250376,-0.7832756991219199,-0.4267963705916751,-0.2535397420106602,-0.07915398487360004,0.25206079326317554,0.007485592775933586
v_subj(0).9,-268.09125574707224,65.43097143276506,-362.6174195732148,-323.85155500058823,-278.3731975355848,-219.77230003094843,-137.22850387265976,6.5235078710647425
