,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.087522116855488,0.36733039540432677,0.5326006110551922,0.8163298459706028,1.033717505142961,1.3172985471021437,1.9288868293656627,0.02010917215742727
a_std,1.825815174811308,0.6781824461354246,0.8486156908647103,1.3150356881830016,1.7111503911074815,2.226385191025461,3.4643841224331555,0.037046817556887636
a_subj.0,1.1794503824583877,0.026128329948765,1.1302321031900033,1.1615788158782596,1.1787966828628658,1.1967349508552987,1.230502234412313,0.0007967171047161223
a_subj.1,1.049075377027466,0.038805046787265485,0.9805801089121156,1.018113514710316,1.0480820297132694,1.080846155719854,1.1192892684007327,0.003133373595437169
a_subj.2,0.6110022205856497,0.016605064597241648,0.5786895505142475,0.5998636844525582,0.6106629332520772,0.6223232746461623,0.6440045393164686,0.0006996152588079526
a_subj.3,0.7878746973653455,0.019383348433910926,0.7528206304995005,0.775267402808223,0.7865264092161407,0.8000628532998719,0.8293876370440034,0.0006568701427154857
a_subj.4,0.554302740123956,0.013072948096872488,0.5293073100997742,0.5454489322782938,0.553869290710526,0.5628032473881442,0.5802109035649542,0.0004271279478485583
a_subj.5,2.337325786278877e-08,5.868209356104475e-10,2.226987267496737e-08,2.2967604144518737e-08,2.334985509417891e-08,2.3770348457960664e-08,2.45629572877451e-08,1.2375831438658006e-11
a_subj.6,0.5626338801942733,0.03158699407949058,0.49980829528796167,0.5352628153464427,0.5723325840887598,0.5845701897165319,0.6061315969027559,0.0028297633735236394
a_subj.7,1.024676688420081,0.021136119761087854,0.9821293438473716,1.0110346339352554,1.0245478746250432,1.0382671723085306,1.0675288292602478,0.0006356304381699191
a_subj.8,1.0393148518639093,0.023937130787276703,0.9949297366528321,1.0233288673036747,1.0391229719154322,1.0545193074109285,1.089302552215334,0.0007586079019985389
a_subj.9,1.0104779234604468,0.021510852391501516,0.9688993421623268,0.9957233215073518,1.010256527643902,1.0249259882908737,1.0526528481244781,0.0007051376011506065
v(0),0.16600430480132164,0.12466720647640246,-0.07815628944424474,0.08472711636972648,0.16493333105527205,0.24825305840154474,0.41996533959916815,0.003905604721239861
v(1),-0.03709681633790724,0.12220718484640573,-0.28028892214177237,-0.11637204078315697,-0.038765180243114136,0.04144089037263714,0.20044857701121377,0.003474605717227971
v_std,0.31520226796017886,0.07947759018996807,0.1963088792813073,0.25793114836330455,0.3042509707916621,0.3601698425152068,0.5002600168721689,0.0031585341465805565
v_subj(0).0,0.2813031412934937,0.11503768582492166,0.06508726135065175,0.2018962640802795,0.27999251607939946,0.3588321770447467,0.5065912726747768,0.0033173525647916856
v_subj(0).1,0.3056715996907025,0.13554758738300232,0.04430281685007784,0.214388387023563,0.30309889545590535,0.39590384988342286,0.5706242625252325,0.004725430499944832
v_subj(0).2,0.25370903802249073,0.17997610265065037,-0.09669906963590097,0.133203077277176,0.25242678226777504,0.37587384628441756,0.6141083241465215,0.0043753168549435315
v_subj(0).3,-0.10506278006081857,0.1762138051826794,-0.4544400982115661,-0.2293094077980528,-0.10482612915840694,0.020179524187906084,0.22696704131998724,0.005051294874589546
v_subj(0).4,0.22393167458693475,0.19877719121959175,-0.16153405789546488,0.08997774074950499,0.22170224851453613,0.3540625393568919,0.6282066059462901,0.005144742083166497
v_subj(0).5,0.15883652809753013,0.34709307540342976,-0.5595274629641358,-0.059598215048742076,0.15798378607532326,0.3717171621728511,0.8618312668215198,0.009189506572767871
v_subj(0).6,0.011736657917919951,0.2222744124723229,-0.4253151495034758,-0.1409520821350957,0.014723820185427616,0.16705560499056585,0.4388131251262166,0.005587095162629914
v_subj(0).7,0.02524359034047524,0.12191053354486277,-0.22069262352209862,-0.05722153558435536,0.025410573725970664,0.1111575777920755,0.2648829489014455,0.003108244555458016
v_subj(0).8,0.2708222622051921,0.12187909281476739,0.02617499923258293,0.19225747553763756,0.2702257185784235,0.3502629185626257,0.5115444247976944,0.003108603702834735
v_subj(0).9,0.1799699380651913,0.12645657061049675,-0.06428223818267942,0.09394535485724748,0.1808315999882248,0.26571873765108256,0.427225183591859,0.0033068061990449067
v_subj(1).0,0.615375354439684,0.12357348707934719,0.36640152208899623,0.529992625173647,0.6187366828788188,0.6988875528694708,0.8574536260217612,0.003800939714735991
v_subj(1).1,-0.10090757747406758,0.1300875720973749,-0.35640506328376154,-0.18926670464525192,-0.10207668827789473,-0.013585489748619783,0.1516277710913655,0.0036909711508159443
v_subj(1).2,-0.037829722385234035,0.17314169393361856,-0.3776072572085697,-0.15590689413475206,-0.03744852146499911,0.07908550457907548,0.3016044475687861,0.0036957754317838674
v_subj(1).3,-0.41037697518234173,0.17921180423835456,-0.7635795534373481,-0.5341422125842342,-0.40736355639994093,-0.2844486501119249,-0.05540988748927078,0.005309014309946813
v_subj(1).4,0.05339503767008765,0.1957294523502785,-0.334236681693899,-0.07382536580745874,0.05424210167569479,0.18053626046901894,0.4520777307808008,0.004673587146602204
v_subj(1).5,-0.03330460905211102,0.3436888569051087,-0.7260018692259163,-0.23870362937261674,-0.03423910402379571,0.1771911550159373,0.6689493419961647,0.00859397590979835
v_subj(1).6,0.12106315993400968,0.21937919768987585,-0.29647558612462355,-0.02710028662812486,0.11980913988680963,0.26650713723686925,0.5558554638237159,0.006991665187188951
v_subj(1).7,-0.05599027926994627,0.12755151461412614,-0.2990135351701702,-0.14183384118842005,-0.057506971968791454,0.030917611662902966,0.19180429962555623,0.0032196175495028505
v_subj(1).8,-0.053653993201080837,0.1166532858207765,-0.2782470560925264,-0.1361149413405761,-0.052775741329634585,0.025775413171679223,0.1745665578859339,0.0023810704154807673
v_subj(1).9,-0.5163863412332172,0.1273635717554184,-0.7755338419645749,-0.5984355703566443,-0.5194238510536268,-0.4279811405794074,-0.27089682102030366,0.003101280411435384
t,0.3391825869867223,0.06560741337630724,0.23593114266024048,0.29473292506986076,0.33152774263863805,0.3726586301169279,0.5046206678820235,0.0023437810045268724
t_std,0.19598681348739688,0.07277944928007668,0.10806997845704229,0.14539704097776737,0.17939965446932526,0.22507371571864038,0.39230525326265603,0.0030015739217486904
t_subj.0,0.19369077686693237,0.00398025686287141,0.1848674224730062,0.1912522942289361,0.19398306968066953,0.19644514406668648,0.20067927250254738,0.00011973441494786654
t_subj.1,0.29668899398207194,0.018028187686523544,0.27315822459847666,0.2788921363510854,0.30776628754364654,0.3136419175690656,0.31985565954625517,0.001717633859705052
t_subj.2,0.20676058310512135,0.001785935326413447,0.20314687312852533,0.20558436617484568,0.20686444609858942,0.208019399463502,0.2100337801702791,7.6394583781299e-05
t_subj.3,0.4625183958204232,0.0028783139022962125,0.45146780847647333,0.4617909489382769,0.4630019209948586,0.46404489813851263,0.46587878446022796,0.0001613157538540352
t_subj.4,0.2130811483447956,0.001291904640428425,0.21049133990881003,0.21219167120354415,0.21308320330574612,0.21396551650204673,0.21558654684441964,4.256549161417583e-05
t_subj.5,0.63,1.1102230246251565e-16,0.6299999999999999,0.6299999999999999,0.6299999999999999,0.6299999999999999,0.6299999999999999,1.1102230246251566e-17
t_subj.6,0.5515159821773798,0.008303757480848429,0.5442610187227265,0.5463780351351203,0.5472053426172402,0.5631245052528417,0.5659770105622837,0.0008124396887558175
t_subj.7,0.1904363932919751,0.0034277122347379225,0.1831317791246493,0.18817877218572324,0.19054858234810956,0.19278924690835633,0.19683301415790608,9.653011409701413e-05
t_subj.8,0.17822626676711012,0.004037095757679395,0.16992907167400723,0.17549711465567372,0.17836076146058438,0.18112648359434036,0.18591783686531024,0.00012267205004226408
t_subj.9,0.19140475278945465,0.0033724199274768355,0.1842959533257533,0.18924094825865553,0.1914804790639075,0.19377666297617335,0.19764604930621402,0.00010643087481252449
z,0.5043316913539199,0.009453960063547283,0.4854030585251577,0.4982066138020533,0.5044935704586184,0.5105389495777859,0.5227946037684139,0.00029890942510613343
z_std,0.09943535331782363,0.0242466308813681,0.05685307597634004,0.08251060456684603,0.0972473022672107,0.11389382218663813,0.1517906061214279,0.0009132130003546141
z_subj.0,0.5268840057883711,0.014701765162971149,0.4991292648021863,0.5169461683923924,0.5266876263445247,0.5366194009547497,0.5577732335122607,0.000497850382792497
z_subj.1,0.4748135141829007,0.016150344287032256,0.4417098194484894,0.4641868968077646,0.4751893633937993,0.48609797163527435,0.5049905202182728,0.0007536534243749329
z_subj.2,0.4843454677477579,0.011455369934316022,0.46095695612008364,0.476606987999074,0.48450547957824674,0.4921416006902951,0.5067910336332314,0.00030008674533714256
z_subj.3,0.46501024387119194,0.016612188782044512,0.4314811936610768,0.4533103299128488,0.4655326954062948,0.4769098601997308,0.49610740170918494,0.0005607981094511746
z_subj.4,0.5226949353932476,0.012077653560848018,0.4994698351961614,0.5141473705121385,0.5228920574050335,0.5308045790829358,0.5468338881543695,0.00035415135524925615
z_subj.5,0.5011158577599043,0.013101071662249485,0.4753571308177357,0.4922758638519329,0.5011122890556295,0.5101271521097414,0.5268173241188994,0.0002735014200021762
z_subj.6,0.5158789697952731,0.015338339574256009,0.4865495385699122,0.5054339902981501,0.5152122390326243,0.5261117520505316,0.5469276821446241,0.00063977279126433
z_subj.7,0.5421165130473526,0.01333350246949764,0.5157424970197491,0.5335131618779645,0.541972939485572,0.5510619502187667,0.5681740855423547,0.0004153012702593444
z_subj.8,0.5154868041071157,0.01206538058253847,0.49242073098632283,0.5069338450986299,0.5156256668484941,0.5235115279890905,0.5389407155372978,0.00030902861693379976
z_subj.9,0.4947954916988561,0.01229152971470698,0.4700498899481794,0.4866221408972562,0.494796322438834,0.5033796061421116,0.5183703007491527,0.00032805150559986216
