groupID,subjectID,gender,age,handedness,stage,trialID,P,T,W,Shape,Label,CorrectKey,Response,RT,Correct
8,6,1,23,2,practice,1,120,0.03,0.8,square,stranger,f,,NaN,0
8,6,1,23,2,practice,2,120,0.03,0.8,square,self,j,,NaN,0
8,6,1,23,2,practice,3,120,0.03,0.8,circle,stranger,j,,NaN,0
8,6,1,23,2,practice,4,120,0.03,0.8,circle,self,f,,NaN,0
8,6,1,23,2,practice,5,120,0.03,0.8,square,stranger,f,,NaN,0
8,6,1,23,2,practice,6,120,0.03,0.8,square,self,j,,NaN,0
8,6,1,23,2,practice,7,120,0.03,0.8,circle,stranger,j,,NaN,0
8,6,1,23,2,practice,8,120,0.03,0.8,circle,self,f,,NaN,0
8,6,1,23,2,practice,9,120,0.03,0.8,square,self,j,j,0.608569199917838,1
8,6,1,23,2,practice,10,120,0.03,0.8,square,stranger,f,,NaN,0
8,6,1,23,2,practice,11,120,0.03,0.8,circle,stranger,j,,NaN,0
8,6,1,23,2,practice,12,120,0.03,0.8,circle,self,f,,NaN,0
8,6,1,23,2,practice,13,120,0.03,0.8,circle,self,f,f,0.668679099995643,1
8,6,1,23,2,practice,14,120,0.03,0.8,square,self,j,j,0.716204799944535,1
8,6,1,23,2,practice,15,120,0.03,0.8,square,stranger,f,f,0.814944499987178,1
8,6,1,23,2,practice,16,120,0.03,0.8,circle,stranger,j,f,0.702958600013517,0
8,6,1,23,2,practice,17,120,0.03,0.8,circle,stranger,j,,NaN,0
8,6,1,23,2,practice,18,120,0.03,0.8,square,stranger,f,j,0.610251799924299,0
8,6,1,23,2,practice,19,120,0.03,0.8,square,self,j,,NaN,0
8,6,1,23,2,practice,20,120,0.03,0.8,circle,self,f,f,0.731177999987267,1
8,6,1,23,2,practice,21,120,0.03,0.8,circle,stranger,j,,NaN,0
8,6,1,23,2,practice,22,120,0.03,0.8,square,self,j,j,0.75963560002856,1
8,6,1,23,2,practice,23,120,0.03,0.8,square,stranger,f,f,0.767971800058149,1
8,6,1,23,2,practice,24,120,0.03,0.8,circle,self,f,f,0.636156200082041,1
8,6,1,23,2,practice,25,120,0.03,0.8,square,stranger,f,,NaN,0
