SubjectUID,DesignCell,P,T_ms,W_ms,SPE_ACC,P_z,T_z,W_z
group1_1,P0_T30_W300,0,30.0,300.0,0.06153846153846154,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_10,P0_T30_W300,0,30.0,300.0,0.03076923076923077,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_11,P0_T30_W300,0,30.0,300.0,0.06153846153846154,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_2,P0_T30_W300,0,30.0,300.0,0.05384615384615385,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_3,P0_T30_W300,0,30.0,300.0,0.0,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_4,P0_T30_W300,0,30.0,300.0,-0.007692307692307693,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_5,P0_T30_W300,0,30.0,300.0,0.015384615384615358,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_6,P0_T30_W300,0,30.0,300.0,0.023076923076923078,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_7,P0_T30_W300,0,30.0,300.0,-0.05384615384615385,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_8,P0_T30_W300,0,30.0,300.0,-0.015384615384615385,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_9,P0_T30_W300,0,30.0,300.0,-0.05384615384615388,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group2_1,P0_T30_W600,0,30.0,600.0,0.0,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_10,P0_T30_W600,0,30.0,600.0,-0.05384615384615385,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_11,P0_T30_W600,0,30.0,600.0,0.5538461538461539,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_12,P0_T30_W600,0,30.0,600.0,0.0,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_2,P0_T30_W600,0,30.0,600.0,0.0,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_3,P0_T30_W600,0,30.0,600.0,0.523076923076923,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_4,P0_T30_W600,0,30.0,600.0,-0.023076923076923078,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_5,P0_T30_W600,0,30.0,600.0,0.08461538461538459,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_6,P0_T30_W600,0,30.0,600.0,-0.015384615384615385,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_7,P0_T30_W600,0,30.0,600.0,0.09230769230769231,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_8,P0_T30_W600,0,30.0,600.0,-0.06153846153846154,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_9,P0_T30_W600,0,30.0,600.0,0.16923076923076918,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group3_1,P120_T30_W600,120,30.0,600.0,0.17692307692307696,0.792835929536557,-0.5180938517168422,-0.534675490441433
group3_10,P120_T30_W600,120,30.0,600.0,-0.08461538461538465,0.792835929536557,-0.5180938517168422,-0.534675490441433
group3_12,P120_T30_W600,120,30.0,600.0,-0.21538461538461537,0.792835929536557,-0.5180938517168422,-0.534675490441433
group3_2,P120_T30_W600,120,30.0,600.0,-0.06153846153846154,0.792835929536557,-0.5180938517168422,-0.534675490441433
group3_3,P120_T30_W600,120,30.0,600.0,-0.11538461538461531,0.792835929536557,-0.5180938517168422,-0.534675490441433
group3_4,P120_T30_W600,120,30.0,600.0,-0.046153846153846156,0.792835929536557,-0.5180938517168422,-0.534675490441433
group3_5,P120_T30_W600,120,30.0,600.0,0.015384615384615441,0.792835929536557,-0.5180938517168422,-0.534675490441433
group3_6,P120_T30_W600,120,30.0,600.0,0.03076923076923077,0.792835929536557,-0.5180938517168422,-0.534675490441433
group3_7,P120_T30_W600,120,30.0,600.0,0.23076923076923075,0.792835929536557,-0.5180938517168422,-0.534675490441433
group3_8,P120_T30_W600,120,30.0,600.0,0.05384615384615382,0.792835929536557,-0.5180938517168422,-0.534675490441433
group4_1,P120_T80_W600,120,80.0,600.0,-0.007692307692307665,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_10,P120_T80_W600,120,80.0,600.0,0.07692307692307693,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_12,P120_T80_W600,120,80.0,600.0,0.038461538461538436,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_14,P120_T80_W600,120,80.0,600.0,0.061538461538461486,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_2,P120_T80_W600,120,80.0,600.0,-0.046153846153846156,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_3,P120_T80_W600,120,80.0,600.0,0.5769230769230769,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_5,P120_T80_W600,120,80.0,600.0,0.11538461538461542,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_6,P120_T80_W600,120,80.0,600.0,0.038461538461538464,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_7,P120_T80_W600,120,80.0,600.0,0.4461538461538461,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_8,P120_T80_W600,120,80.0,600.0,0.08461538461538462,0.792835929536557,-0.1711208003387439,-0.534675490441433
group4_9,P120_T80_W600,120,80.0,600.0,0.05384615384615382,0.792835929536557,-0.1711208003387439,-0.534675490441433
group5_1,P8_T100_W1100,8,100.0,1100.0,0.23076923076923084,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_10,P8_T100_W1100,8,100.0,1100.0,0.07692307692307687,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_11,P8_T100_W1100,8,100.0,1100.0,0.27692307692307694,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_12,P8_T100_W1100,8,100.0,1100.0,0.08461538461538465,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_2,P8_T100_W1100,8,100.0,1100.0,0.03076923076923077,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_3,P8_T100_W1100,8,100.0,1100.0,0.20769230769230773,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_4,P8_T100_W1100,8,100.0,1100.0,0.01538461538461533,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_5,P8_T100_W1100,8,100.0,1100.0,0.13846153846153852,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_6,P8_T100_W1100,8,100.0,1100.0,0.038461538461538436,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_7,P8_T100_W1100,8,100.0,1100.0,0.16153846153846163,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group5_8,P8_T100_W1100,8,100.0,1100.0,0.09230769230769231,-1.1646267261528986,-0.032331579787504595,0.9542942297752163
group6_1,P120_T500_W1500,120,500.0,1500.0,0.007692307692307665,0.792835929536557,2.7434528312372817,2.145470005948536
group6_10,P120_T500_W1500,120,500.0,1500.0,0.0,0.792835929536557,2.7434528312372817,2.145470005948536
group6_12,P120_T500_W1500,120,500.0,1500.0,0.023076923076923106,0.792835929536557,2.7434528312372817,2.145470005948536
group6_13,P120_T500_W1500,120,500.0,1500.0,0.007692307692307665,0.792835929536557,2.7434528312372817,2.145470005948536
group6_15,P120_T500_W1500,120,500.0,1500.0,0.05384615384615388,0.792835929536557,2.7434528312372817,2.145470005948536
group6_16,P120_T500_W1500,120,500.0,1500.0,-0.0461538461538461,0.792835929536557,2.7434528312372817,2.145470005948536
group6_3,P120_T500_W1500,120,500.0,1500.0,0.007692307692307665,0.792835929536557,2.7434528312372817,2.145470005948536
group6_4,P120_T500_W1500,120,500.0,1500.0,0.015384615384615441,0.792835929536557,2.7434528312372817,2.145470005948536
group6_5,P120_T500_W1500,120,500.0,1500.0,0.10769230769230764,0.792835929536557,2.7434528312372817,2.145470005948536
group6_9,P120_T500_W1500,120,500.0,1500.0,-0.01538461538461533,0.792835929536557,2.7434528312372817,2.145470005948536
group7_1,P120_T30_W800,120,30.0,800.0,0.13846153846153852,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_10,P120_T30_W800,120,30.0,800.0,-0.10000000000000009,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_11,P120_T30_W800,120,30.0,800.0,0.3307692307692308,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_12,P120_T30_W800,120,30.0,800.0,-0.038461538461538436,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_2,P120_T30_W800,120,30.0,800.0,0.0,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_3,P120_T30_W800,120,30.0,800.0,0.2923076923076924,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_4,P120_T30_W800,120,30.0,800.0,-0.06153846153846154,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_5,P120_T30_W800,120,30.0,800.0,0.08461538461538465,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_6,P120_T30_W800,120,30.0,800.0,0.023076923076922995,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_7,P120_T30_W800,120,30.0,800.0,0.06153846153846154,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_8,P120_T30_W800,120,30.0,800.0,-0.05384615384615388,0.792835929536557,-0.5180938517168422,0.060912397645226685
group7_9,P120_T30_W800,120,30.0,800.0,0.2615384615384615,0.792835929536557,-0.5180938517168422,0.060912397645226685
group8_1,P120_T80_W800,120,80.0,800.0,0.13846153846153852,0.792835929536557,-0.1711208003387439,0.060912397645226685
group8_10,P120_T80_W800,120,80.0,800.0,-0.10000000000000009,0.792835929536557,-0.1711208003387439,0.060912397645226685
