SubjectUID,DesignCell,P,T_ms,W_ms,SPE_RT_ms,P_z,T_z,W_z
group1_1,P0_T30_W300,0,30.0,300.0,11.625129665592311,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_10,P0_T30_W300,0,30.0,300.0,6.454977911697313,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_11,P0_T30_W300,0,30.0,300.0,-6.064563547018338,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_2,P0_T30_W300,0,30.0,300.0,9.864206372577684,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_3,P0_T30_W300,0,30.0,300.0,-16.377747058012574,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_4,P0_T30_W300,0,30.0,300.0,3.5449978004780576,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_5,P0_T30_W300,0,30.0,300.0,6.654787775882767,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_6,P0_T30_W300,0,30.0,300.0,27.527430008922238,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_7,P0_T30_W300,0,30.0,300.0,-2.4239207186379588,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_8,P0_T30_W300,0,30.0,300.0,14.271954284050025,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group1_9,P0_T30_W300,0,30.0,300.0,-7.3741084750510595,-1.304445487273574,-0.5180938517168422,-1.4280573225714226
group2_1,P0_T30_W600,0,30.0,600.0,-50.260958333536905,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_10,P0_T30_W600,0,30.0,600.0,-13.091297825113827,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_11,P0_T30_W600,0,30.0,600.0,21.559841250000034,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_12,P0_T30_W600,0,30.0,600.0,-10.674686679461274,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_2,P0_T30_W600,0,30.0,600.0,-177.39452499881753,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_3,P0_T30_W600,0,30.0,600.0,-31.469595858125103,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_4,P0_T30_W600,0,30.0,600.0,5.5503113557775805,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_5,P0_T30_W600,0,30.0,600.0,26.709299787307714,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_6,P0_T30_W600,0,30.0,600.0,-5.839009998072356,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_7,P0_T30_W600,0,30.0,600.0,15.775645003742227,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_8,P0_T30_W600,0,30.0,600.0,34.73593750007956,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group2_9,P0_T30_W600,0,30.0,600.0,-20.21093814328094,-1.304445487273574,-0.5180938517168422,-0.534675490441433
group3_1,P120_T30_W600,120,30.0,600.0,-7.233781353602296,0.792835929536557,-0.5180938517168422,-0.534675490441433
group3_10,P120_T30_W600,120,30.0,600.0,42.0498772425791,0.792835929536557,-0.5180938517168422,-0.534675490441433
group3_12,P120_T30_W600,120,30.0,600.0,-28.98173129396713,0.792835929536557,-0.5180938517168422,-0.534675490441433
group3_2,P120_T30_W600,120,30.0,600.0,11.417373266784296,0.792835929536557,-0.5180938517168422,-0.534675490441433
group3_3,P120_T30_W600,120,30.0,600.0,6.923239265482039,0.792835929536557,-0.5180938517168422,-0.534675490441433
