SubjectUID,DesignCell,P,T_ms,W_ms,Matching,Identity,RT_ms,n_rt
group1_1,P0_T30_W300,0,30.0,300.0,NonMatching,Stranger,256.55709166555124,12
group1_1,P0_T30_W300,0,30.0,300.0,NonMatching,Self,268.0805000012957,7
group1_1,P0_T30_W300,0,30.0,300.0,Matching,Stranger,252.24295454509874,11
group1_1,P0_T30_W300,0,30.0,300.0,Matching,Self,263.86808421069105,19
group1_10,P0_T30_W300,0,30.0,300.0,NonMatching,Stranger,257.7314869596865,23
group1_10,P0_T30_W300,0,30.0,300.0,NonMatching,Self,258.92054781560677,23
group1_10,P0_T30_W300,0,30.0,300.0,Matching,Stranger,259.85313809776153,21
group1_10,P0_T30_W300,0,30.0,300.0,Matching,Self,266.30811600945884,25
group1_11,P0_T30_W300,0,30.0,300.0,NonMatching,Stranger,252.19446666004066,27
group1_11,P0_T30_W300,0,30.0,300.0,NonMatching,Self,246.11814814205803,27
group1_11,P0_T30_W300,0,30.0,300.0,Matching,Stranger,267.43995416230365,24
group1_11,P0_T30_W300,0,30.0,300.0,Matching,Self,261.3753906152853,32
group1_2,P0_T30_W300,0,30.0,300.0,NonMatching,Stranger,269.48466315814966,19
group1_2,P0_T30_W300,0,30.0,300.0,NonMatching,Self,275.9909130441172,23
group1_2,P0_T30_W300,0,30.0,300.0,Matching,Stranger,255.67723529478403,17
group1_2,P0_T30_W300,0,30.0,300.0,Matching,Self,265.5414416673617,24
group1_3,P0_T30_W300,0,30.0,300.0,NonMatching,Stranger,281.378888888058,9
group1_3,P0_T30_W300,0,30.0,300.0,NonMatching,Self,273.7321714271923,7
group1_3,P0_T30_W300,0,30.0,300.0,Matching,Stranger,282.9697235292236,17
group1_3,P0_T30_W300,0,30.0,300.0,Matching,Self,266.591976471211,17
group1_4,P0_T30_W300,0,30.0,300.0,NonMatching,Stranger,250.0082378360644,37
group1_4,P0_T30_W300,0,30.0,300.0,NonMatching,Self,258.3993933318804,45
group1_4,P0_T30_W300,0,30.0,300.0,Matching,Stranger,239.4508714267951,14
group1_4,P0_T30_W300,0,30.0,300.0,Matching,Self,242.99586922727315,13
group1_5,P0_T30_W300,0,30.0,300.0,NonMatching,Stranger,234.0800249803575,4
group1_5,P0_T30_W300,0,30.0,300.0,NonMatching,Self,267.108250016463,4
group1_5,P0_T30_W300,0,30.0,300.0,Matching,Stranger,258.4196516132403,31
group1_5,P0_T30_W300,0,30.0,300.0,Matching,Self,265.0744393891231,33
group1_6,P0_T30_W300,0,30.0,300.0,NonMatching,Stranger,258.01080555862006,18
group1_6,P0_T30_W300,0,30.0,300.0,NonMatching,Self,268.23031113276045,9
group1_6,P0_T30_W300,0,30.0,300.0,Matching,Stranger,235.4139199946074,5
group1_6,P0_T30_W300,0,30.0,300.0,Matching,Self,262.94135000352964,8
group1_7,P0_T30_W300,0,30.0,300.0,NonMatching,Stranger,242.78749230478977,13
group1_7,P0_T30_W300,0,30.0,300.0,NonMatching,Self,240.5810812524577,16
group1_7,P0_T30_W300,0,30.0,300.0,Matching,Stranger,241.74383889314615,18
group1_7,P0_T30_W300,0,30.0,300.0,Matching,Self,239.3199181745082,11
group1_8,P0_T30_W300,0,30.0,300.0,NonMatching,Stranger,258.4330416660426,24
group1_8,P0_T30_W300,0,30.0,300.0,NonMatching,Self,262.87478571785397,21
group1_8,P0_T30_W300,0,30.0,300.0,Matching,Stranger,258.680785715114,7
group1_8,P0_T30_W300,0,30.0,300.0,Matching,Self,272.952739999164,5
group1_9,P0_T30_W300,0,30.0,300.0,NonMatching,Stranger,258.0553700041492,10
group1_9,P0_T30_W300,0,30.0,300.0,NonMatching,Self,261.5157200139947,10
group1_9,P0_T30_W300,0,30.0,300.0,Matching,Stranger,262.8180599975168,40
group1_9,P0_T30_W300,0,30.0,300.0,Matching,Self,255.44395152246574,33
group2_1,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,371.2930073175457,41
group2_1,P0_T30_W600,0,30.0,600.0,NonMatching,Self,361.36523953491417,43
group2_1,P0_T30_W600,0,30.0,600.0,Matching,Stranger,402.6528638890643,36
group2_1,P0_T30_W600,0,30.0,600.0,Matching,Self,352.3919055555274,36
group2_10,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,367.7013794162228,34
group2_10,P0_T30_W600,0,30.0,600.0,NonMatching,Self,375.9264749945335,48
group2_10,P0_T30_W600,0,30.0,600.0,Matching,Stranger,377.91344782580506,23
group2_10,P0_T30_W600,0,30.0,600.0,Matching,Self,364.82215000069124,16
group2_11,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,561.982475,12
group2_11,P0_T30_W600,0,30.0,600.0,NonMatching,Self,551.1771263157895,19
group2_11,P0_T30_W600,0,30.0,600.0,Matching,Stranger,499.6245125,8
group2_11,P0_T30_W600,0,30.0,600.0,Matching,Self,521.18435375,80
group2_12,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,303.91226274614206,51
group2_12,P0_T30_W600,0,30.0,600.0,NonMatching,Self,336.0906788472605,52
group2_12,P0_T30_W600,0,30.0,600.0,Matching,Stranger,371.3865400097954,15
group2_12,P0_T30_W600,0,30.0,600.0,Matching,Self,360.7118533303341,15
group2_2,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,515.3115666665449,6
group2_2,P0_T30_W600,0,30.0,600.0,NonMatching,Self,456.50504166648415,12
group2_2,P0_T30_W600,0,30.0,600.0,Matching,Stranger,463.3598500040535,4
group2_2,P0_T30_W600,0,30.0,600.0,Matching,Self,285.96532500523597,4
group2_3,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,559.6887242427329,33
group2_3,P0_T30_W600,0,30.0,600.0,NonMatching,Self,558.3618656260114,32
group2_3,P0_T30_W600,0,30.0,600.0,Matching,Stranger,557.5812363650501,11
group2_3,P0_T30_W600,0,30.0,600.0,Matching,Self,526.111640506925,79
group2_4,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,366.29882499983063,8
group2_4,P0_T30_W600,0,30.0,600.0,NonMatching,Self,461.8828125057916,16
group2_4,P0_T30_W600,0,30.0,600.0,Matching,Stranger,431.37386363973326,11
group2_4,P0_T30_W600,0,30.0,600.0,Matching,Self,436.92417499551084,8
group2_5,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,409.4993974984391,40
group2_5,P0_T30_W600,0,30.0,600.0,NonMatching,Self,385.0502000000673,31
group2_5,P0_T30_W600,0,30.0,600.0,Matching,Stranger,368.2819557669482,52
group2_5,P0_T30_W600,0,30.0,600.0,Matching,Self,394.99125555425593,63
group2_6,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,583.6734500002682,14
group2_6,P0_T30_W600,0,30.0,600.0,NonMatching,Self,524.7908915285518,59
group2_6,P0_T30_W600,0,30.0,600.0,Matching,Stranger,562.2214099984072,30
group2_6,P0_T30_W600,0,30.0,600.0,Matching,Self,556.3824000003349,28
group2_7,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,249.3448083332624,36
group2_7,P0_T30_W600,0,30.0,600.0,NonMatching,Self,256.78899354815877,31
group2_7,P0_T30_W600,0,30.0,600.0,Matching,Stranger,255.76798039244255,51
group2_7,P0_T30_W600,0,30.0,600.0,Matching,Self,271.5436253961848,63
group2_8,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,502.2068500053139,10
group2_8,P0_T30_W600,0,30.0,600.0,NonMatching,Self,479.3185473628048,19
group2_8,P0_T30_W600,0,30.0,600.0,Matching,Stranger,538.8885249994928,16
group2_8,P0_T30_W600,0,30.0,600.0,Matching,Self,573.6244624995724,8
group2_9,P0_T30_W600,0,30.0,600.0,NonMatching,Stranger,522.7019027709807,72
group2_9,P0_T30_W600,0,30.0,600.0,NonMatching,Self,534.110847219482,72
group2_9,P0_T30_W600,0,30.0,600.0,Matching,Stranger,515.4871623229195,69
group2_9,P0_T30_W600,0,30.0,600.0,Matching,Self,495.2762241796386,91
group3_1,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,445.7505190539882,21
group3_1,P120_T30_W600,120,30.0,600.0,NonMatching,Self,461.0913333289014,15
group3_1,P120_T30_W600,120,30.0,600.0,Matching,Stranger,444.61062857263477,49
group3_1,P120_T30_W600,120,30.0,600.0,Matching,Self,437.37684721903247,72
group3_10,P120_T30_W600,120,30.0,600.0,NonMatching,Stranger,374.441710342894,29
