SubjectUID,DesignCell,P,T_ms,W_ms,Stranger,Self,SPE_ACC
group1_1,P0_T30_W300,0,30.0,300.0,0.08461538461538462,0.14615384615384616,0.06153846153846154
group1_10,P0_T30_W300,0,30.0,300.0,0.16153846153846155,0.19230769230769232,0.03076923076923077
group1_11,P0_T30_W300,0,30.0,300.0,0.18461538461538463,0.24615384615384617,0.06153846153846154
group1_2,P0_T30_W300,0,30.0,300.0,0.13076923076923078,0.18461538461538463,0.05384615384615385
group1_3,P0_T30_W300,0,30.0,300.0,0.13076923076923078,0.13076923076923078,0.0
group1_4,P0_T30_W300,0,30.0,300.0,0.1076923076923077,0.1,-0.007692307692307693
group1_5,P0_T30_W300,0,30.0,300.0,0.23846153846153847,0.25384615384615383,0.015384615384615358
group1_6,P0_T30_W300,0,30.0,300.0,0.038461538461538464,0.06153846153846154,0.023076923076923078
group1_7,P0_T30_W300,0,30.0,300.0,0.13846153846153847,0.08461538461538462,-0.05384615384615385
group1_8,P0_T30_W300,0,30.0,300.0,0.05384615384615385,0.038461538461538464,-0.015384615384615385
group1_9,P0_T30_W300,0,30.0,300.0,0.3076923076923077,0.25384615384615383,-0.05384615384615388
group2_1,P0_T30_W600,0,30.0,600.0,0.27692307692307694,0.27692307692307694,0.0
group2_10,P0_T30_W600,0,30.0,600.0,0.17692307692307693,0.12307692307692308,-0.05384615384615385
group2_11,P0_T30_W600,0,30.0,600.0,0.06153846153846154,0.6153846153846154,0.5538461538461539
group2_12,P0_T30_W600,0,30.0,600.0,0.11538461538461539,0.11538461538461539,0.0
group2_2,P0_T30_W600,0,30.0,600.0,0.03076923076923077,0.03076923076923077,0.0
group2_3,P0_T30_W600,0,30.0,600.0,0.08461538461538462,0.6076923076923076,0.523076923076923
group2_4,P0_T30_W600,0,30.0,600.0,0.08461538461538462,0.06153846153846154,-0.023076923076923078
group2_5,P0_T30_W600,0,30.0,600.0,0.4,0.4846153846153846,0.08461538461538459
group2_6,P0_T30_W600,0,30.0,600.0,0.23076923076923078,0.2153846153846154,-0.015384615384615385
group2_7,P0_T30_W600,0,30.0,600.0,0.3923076923076923,0.4846153846153846,0.09230769230769231
group2_8,P0_T30_W600,0,30.0,600.0,0.12307692307692308,0.06153846153846154,-0.06153846153846154
group2_9,P0_T30_W600,0,30.0,600.0,0.5307692307692308,0.7,0.16923076923076918
group3_1,P120_T30_W600,120,30.0,600.0,0.3769230769230769,0.5538461538461539,0.17692307692307696
group3_10,P120_T30_W600,120,30.0,600.0,0.4,0.3153846153846154,-0.08461538461538465
group3_12,P120_T30_W600,120,30.0,600.0,0.3769230769230769,0.16153846153846155,-0.21538461538461537
group3_2,P120_T30_W600,120,30.0,600.0,0.36153846153846153,0.3,-0.06153846153846154
group3_3,P120_T30_W600,120,30.0,600.0,0.5153846153846153,0.4,-0.11538461538461531
group3_4,P120_T30_W600,120,30.0,600.0,0.19230769230769232,0.14615384615384616,-0.046153846153846156
group3_5,P120_T30_W600,120,30.0,600.0,0.5076923076923077,0.5230769230769231,0.015384615384615441
group3_6,P120_T30_W600,120,30.0,600.0,0.09230769230769231,0.12307692307692308,0.03076923076923077
group3_7,P120_T30_W600,120,30.0,600.0,0.11538461538461539,0.34615384615384615,0.23076923076923075
group3_8,P120_T30_W600,120,30.0,600.0,0.3230769230769231,0.3769230769230769,0.05384615384615382
group4_1,P120_T80_W600,120,80.0,600.0,0.5615384615384615,0.5538461538461539,-0.007692307692307665
