condition_id,label,P,T_ms,W_ms,source,omit_rate,v,a,t,z
C1,self,0.0,30.0,300.0,真实 Matching,0.7567307692307692,0.2556814208227223,0.04164484377974148,0.22160424517568614,0.02082242188987074
C1,self,0.0,30.0,300.0,生成 Matching,0.7297619047619048,0.40433043589181755,0.045388391661872925,0.23575810906830577,0.022694195830936462
C1,self,0.0,30.0,300.0,生成潜在参数,,2.3977258923326557,1.4075974773552995,0.2,0.7037987386776497
C1,stranger,0.0,30.0,300.0,真实 Matching,0.7596153846153846,0.26719720984058243,0.04307890067144647,0.21921195804134747,0.021539450335723236
C1,stranger,0.0,30.0,300.0,生成 Matching,0.7897619047619048,0.2509993174734831,0.04169266602329328,0.22641179217498125,0.02084633301164664
C1,stranger,0.0,30.0,300.0,生成潜在参数,,0.6833714074777719,1.424100657388294,0.2,0.712050328694147
C2,self,0.0,30.0,600.0,真实 Matching,0.5264957264957265,0.10646086892887104,0.0748014899485386,0.3012572152889219,0.0374007449742693
C2,self,0.0,30.0,600.0,生成 Matching,0.5352380952380953,0.2714317897595515,0.08124576582221081,0.3040449907387066,0.040622882911105405
C2,self,0.0,30.0,600.0,生成潜在参数,,1.876058262227674,1.9274446045727593,0.2,0.9637223022863797
C2,stranger,0.0,30.0,600.0,真实 Matching,0.5512820512820513,0.05371784645321495,0.0665785354731897,0.2635619424350777,0.03328926773659485
C2,stranger,0.0,30.0,600.0,生成 Matching,0.6615873015873016,0.131073456785384,0.07008271627926536,0.31804383848810086,0.03504135813963268
C2,stranger,0.0,30.0,600.0,生成潜在参数,,0.5554450605412988,1.940063572226726,0.2,0.970031786113363
C3,self,8.0,100.0,1100.0,真实 Matching,0.04285714285714283,0.23352607952555265,0.10784707193850111,0.4674609520941135,0.053923535969250556
C3,self,8.0,100.0,1100.0,生成 Matching,0.2183520599250936,0.2417143470442246,0.13243576707459526,0.32174078643908893,0.06621788353729763
C3,self,8.0,100.0,1100.0,生成潜在参数,,2.3709642422668744,2.350333534980797,0.2,1.1751667674903985
C3,stranger,8.0,100.0,1100.0,真实 Matching,0.0879120879120879,0.1271519920216365,0.09791081353601545,0.5300260479167811,0.04895540676800773
C3,stranger,8.0,100.0,1100.0,生成 Matching,0.45752808988764043,0.10486460231624413,0.10381546662864408,0.4018603933054111,0.05190773331432204
C3,stranger,8.0,100.0,1100.0,生成潜在参数,,0.6482574194871025,2.3541800191508178,0.2,1.1770900095754089
C4,self,120.0,30.0,600.0,真实 Matching,0.33153846153846156,0.16932871567628238,0.07193983958555483,0.3126128664341392,0.035969919792777416
C4,self,120.0,30.0,600.0,生成 Matching,0.42857142857142855,0.1832887092800693,0.0975773947091953,0.3113940230136941,0.04878869735459765
C4,self,120.0,30.0,600.0,生成潜在参数,,1.3602140123762763,1.7753757031888777,0.19999999999999998,0.8876878515944386
C4,stranger,120.0,30.0,600.0,真实 Matching,0.36153846153846153,0.0859012743187562,0.06859988666574919,0.25604808677077484,0.034299943332874595
C4,stranger,120.0,30.0,600.0,生成 Matching,0.4871794871794872,0.09736521966225216,0.08570890739218492,0.3368932810815184,0.04285445369609246
C4,stranger,120.0,30.0,600.0,生成潜在参数,,0.38730252853695873,1.7838096974291158,0.19999999999999998,0.8919048487145579
C5,self,120.0,80.0,600.0,真实 Matching,0.3032967032967033,0.26669735038566483,0.08356218678508595,0.3875655086509396,0.041781093392542976
C5,self,120.0,80.0,600.0,生成 Matching,0.4060358890701468,0.32861053061686135,0.0988446387102356,0.2958151450595538,0.0494223193551178
C5,self,120.0,80.0,600.0,生成潜在参数,,2.8447705571911777,2.0270637222589025,0.2,1.0135318611294513
C5,stranger,120.0,80.0,600.0,真实 Matching,0.3758241758241758,0.17731048509638092,0.07064409224853388,0.40964985841900603,0.03532204612426694
C5,stranger,120.0,80.0,600.0,生成 Matching,0.6370853724850463,0.16110648241957176,0.08145984336479783,0.34922347787075814,0.04072992168239892
C5,stranger,120.0,80.0,600.0,生成潜在参数,,0.7728330557827596,2.0282223270856092,0.2,1.0141111635428046
C6,self,120.0,500.0,1500.0,真实 Matching,0.07384615384615385,0.24329661251302434,0.1520620517511339,0.564241181320925,0.07603102587556695
C6,self,120.0,500.0,1500.0,生成 Matching,0.13069306930693067,0.29721855828436333,0.135020640733251,0.2771894430835165,0.0675103203666255
C6,self,120.0,500.0,1500.0,生成潜在参数,,3.5815620441245546,2.3560691636636917,0.2,1.1780345818318458
C6,stranger,120.0,500.0,1500.0,真实 Matching,0.06307692307692306,0.18214298493765674,0.13079311922633122,0.6590490377392446,0.06539655961316561
C6,stranger,120.0,500.0,1500.0,生成 Matching,0.45159515951595164,0.13848218869944276,0.10827543099828117,0.3980438997707723,0.054137715499140586
C6,stranger,120.0,500.0,1500.0,生成潜在参数,,0.9208232099199624,2.3541413944953002,0.2,1.1770706972476501
