P,T,W,M,condition_id
0,10,200,210,P0_T10_W200
0,10,300,310,P0_T10_W300
0,10,400,410,P0_T10_W400
0,10,500,510,P0_T10_W500
0,10,600,610,P0_T10_W600
0,10,800,810,P0_T10_W800
0,10,1000,1010,P0_T10_W1000
0,10,1200,1210,P0_T10_W1200
0,10,1500,1510,P0_T10_W1500
0,20,200,220,P0_T20_W200
0,20,300,320,P0_T20_W300
0,20,400,420,P0_T20_W400
0,20,500,520,P0_T20_W500
0,20,600,620,P0_T20_W600
0,20,800,820,P0_T20_W800
0,20,1000,1020,P0_T20_W1000
0,20,1200,1220,P0_T20_W1200
0,20,1500,1520,P0_T20_W1500
0,30,200,230,P0_T30_W200
0,30,300,330,P0_T30_W300
0,30,400,430,P0_T30_W400
0,30,500,530,P0_T30_W500
0,30,600,630,P0_T30_W600
0,30,800,830,P0_T30_W800
0,30,1000,1030,P0_T30_W1000
0,30,1200,1230,P0_T30_W1200
0,30,1500,1530,P0_T30_W1500
0,50,200,250,P0_T50_W200
0,50,300,350,P0_T50_W300
0,50,400,450,P0_T50_W400
0,50,500,550,P0_T50_W500
0,50,600,650,P0_T50_W600
0,50,800,850,P0_T50_W800
0,50,1000,1050,P0_T50_W1000
0,50,1200,1250,P0_T50_W1200
0,50,1500,1550,P0_T50_W1500
0,80,200,280,P0_T80_W200
0,80,300,380,P0_T80_W300
0,80,400,480,P0_T80_W400
0,80,500,580,P0_T80_W500
0,80,600,680,P0_T80_W600
0,80,800,880,P0_T80_W800
0,80,1000,1080,P0_T80_W1000
0,80,1200,1280,P0_T80_W1200
0,80,1500,1580,P0_T80_W1500
0,100,200,300,P0_T100_W200
0,100,300,400,P0_T100_W300
0,100,400,500,P0_T100_W400
0,100,500,600,P0_T100_W500
0,100,600,700,P0_T100_W600
0,100,800,900,P0_T100_W800
0,100,1000,1100,P0_T100_W1000
0,100,1200,1300,P0_T100_W1200
0,100,1500,1600,P0_T100_W1500
0,150,200,350,P0_T150_W200
0,150,300,450,P0_T150_W300
0,150,400,550,P0_T150_W400
0,150,500,650,P0_T150_W500
0,150,600,750,P0_T150_W600
0,150,800,950,P0_T150_W800
0,150,1000,1150,P0_T150_W1000
0,150,1200,1350,P0_T150_W1200
0,150,1500,1650,P0_T150_W1500
0,200,200,400,P0_T200_W200
0,200,300,500,P0_T200_W300
0,200,400,600,P0_T200_W400
0,200,500,700,P0_T200_W500
0,200,600,800,P0_T200_W600
0,200,800,1000,P0_T200_W800
0,200,1000,1200,P0_T200_W1000
0,200,1200,1400,P0_T200_W1200
0,200,1500,1700,P0_T200_W1500
0,280,200,480,P0_T280_W200
0,280,300,580,P0_T280_W300
0,280,400,680,P0_T280_W400
0,280,500,780,P0_T280_W500
0,280,600,880,P0_T280_W600
0,280,800,1080,P0_T280_W800
0,280,1000,1280,P0_T280_W1000
0,280,1200,1480,P0_T280_W1200
0,280,1500,1780,P0_T280_W1500
0,350,200,550,P0_T350_W200
0,350,300,650,P0_T350_W300
0,350,400,750,P0_T350_W400
0,350,500,850,P0_T350_W500
0,350,600,950,P0_T350_W600
0,350,800,1150,P0_T350_W800
0,350,1000,1350,P0_T350_W1000
0,350,1200,1550,P0_T350_W1200
0,350,1500,1850,P0_T350_W1500
0,420,200,620,P0_T420_W200
0,420,300,720,P0_T420_W300
0,420,400,820,P0_T420_W400
0,420,500,920,P0_T420_W500
0,420,600,1020,P0_T420_W600
0,420,800,1220,P0_T420_W800
0,420,1000,1420,P0_T420_W1000
0,420,1200,1620,P0_T420_W1200
0,420,1500,1920,P0_T420_W1500
0,500,200,700,P0_T500_W200
0,500,300,800,P0_T500_W300
0,500,400,900,P0_T500_W400
0,500,500,1000,P0_T500_W500
0,500,600,1100,P0_T500_W600
0,500,800,1300,P0_T500_W800
0,500,1000,1500,P0_T500_W1000
0,500,1200,1700,P0_T500_W1200
0,500,1500,2000,P0_T500_W1500
0,600,200,800,P0_T600_W200
0,600,300,900,P0_T600_W300
0,600,400,1000,P0_T600_W400
0,600,500,1100,P0_T600_W500
0,600,600,1200,P0_T600_W600
0,600,800,1400,P0_T600_W800
0,600,1000,1600,P0_T600_W1000
0,600,1200,1800,P0_T600_W1200
0,600,1500,2100,P0_T600_W1500
