P,T,W,M,condition_id
72,491,969,1460,LHS_000
107,245,421,666,LHS_001
86,442,1238,1680,LHS_002
62,303,1033,1336,LHS_003
58,76,948,1024,LHS_004
12,561,420,981,LHS_005
18,124,437,561,LHS_006
83,364,1150,1514,LHS_007
110,593,1143,1736,LHS_008
36,98,347,445,LHS_009
78,459,690,1149,LHS_010
98,60,1121,1181,LHS_011
85,485,327,812,LHS_012
44,350,1099,1449,LHS_013
14,226,1424,1650,LHS_014
132,143,716,859,LHS_015
119,576,1302,1878,LHS_016
21,47,295,342,LHS_017
120,359,519,878,LHS_018
23,322,1382,1704,LHS_019
134,267,648,915,LHS_020
77,42,869,911,LHS_021
106,569,759,1328,LHS_022
143,339,1404,1743,LHS_023
111,380,1057,1437,LHS_024
70,162,1023,1185,LHS_025
118,466,204,670,LHS_026
5,153,510,663,LHS_027
18,375,581,956,LHS_028
89,599,1363,1962,LHS_029
109,478,1416,1894,LHS_030
68,256,543,799,LHS_031
103,334,575,909,LHS_032
137,170,308,478,LHS_033
102,447,242,689,LHS_034
54,314,963,1277,LHS_035
54,530,259,789,LHS_036
25,309,699,1008,LHS_037
81,117,736,853,LHS_038
0,184,1310,1494,LHS_039
46,83,407,490,LHS_040
127,505,1130,1635,LHS_041
30,511,1265,1776,LHS_042
26,398,461,859,LHS_043
142,586,335,921,LHS_044
34,423,883,1306,LHS_045
60,21,896,917,LHS_046
43,294,778,1072,LHS_047
116,581,664,1245,LHS_048
32,238,1006,1244,LHS_049
81,199,601,800,LHS_050
2,517,1465,1982,LHS_051
13,213,919,1132,LHS_052
66,529,526,1055,LHS_053
31,134,557,691,LHS_054
130,418,1437,1855,LHS_055
28,111,482,593,LHS_056
7,14,1267,1281,LHS_057
141,263,363,626,LHS_058
9,542,1334,1876,LHS_059
114,52,1012,1064,LHS_060
136,147,802,949,LHS_061
122,476,268,744,LHS_062
97,28,860,888,LHS_063
76,518,848,1366,LHS_064
91,390,1476,1866,LHS_065
42,433,606,1039,LHS_066
47,550,1095,1645,LHS_067
4,416,627,1043,LHS_068
71,39,1181,1220,LHS_069
50,71,457,528,LHS_070
99,283,671,954,LHS_071
150,357,903,1260,LHS_072
125,345,1078,1423,LHS_073
92,453,1249,1702,LHS_074
138,328,726,1054,LHS_075
145,499,770,1269,LHS_076
148,405,231,636,LHS_077
15,135,1065,1200,LHS_078
104,169,1356,1525,LHS_079
65,194,1289,1483,LHS_080
8,384,1203,1587,LHS_081
22,208,1170,1378,LHS_082
49,289,1385,1674,LHS_083
94,191,990,1181,LHS_084
74,536,498,1034,LHS_085
96,248,1225,1473,LHS_086
113,403,939,1342,LHS_087
123,103,1197,1300,LHS_088
52,440,1461,1901,LHS_089
129,274,381,655,LHS_090
146,89,390,479,LHS_091
60,25,1320,1345,LHS_092
36,234,289,523,LHS_093
39,280,219,499,LHS_094
64,222,637,859,LHS_095
88,110,826,936,LHS_096
57,64,823,887,LHS_097
39,553,785,1338,LHS_098
131,177,1492,1669,LHS_099
